row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và NHNN,17,16.553.557,1.242.864,,17.0,16553557.0,1242864.0
1.,B. > 1.,1.,"Tiền gửi và vay Chính phủ, NHNN",,16.553.557,1.242.864,,,16553557.0,1242864.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,18,147.488.660,132.373.236,,18.0,147488660.0,132373236.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,,136.492.390,122.008.317,,,136492390.0,122008317.0
2.,B. > 2.,2.,Vay các TCTD khác,,10.996.270,10.364.919,,,10996270.0,10364919.0
III.,B. > III.,III.,Tiền gửi của khách hàng,19,567.655.013,496.105.437,,19.0,567655013.0,496105437.0
IV.,B. > IV.,IV.,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,10,-,61.927,,10.0,,61927.0
V.,B. > V.,V.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",20,15.804.523,1.429.650,,20.0,15804523.0,1429650.0
VI.,B. > VI.,VI.,Phát hành giấy tờ có giá,21,53.096.625,39.248.195,,21.0,53096625.0,39248195.0
VII.,B. > VII.,VII.,Các khoản nợ khác,22,17.282.643,13.110.542,,22.0,17282643.0,13110542.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,13.713.156,10.466.534,,,13713156.0,10466534.0
2.,B. > 2.,2.,Các khoản phải trả và công nợ khác,,3.569.487,2.644.008,,,3569487.0,2644008.0
TỔNG NỘ PHẢI TRẢ,B. > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,817.881.021,683.571.851,,,817881021.0,683571851.0
VIII.,B. > VIII.,VIII.,Vốn và các quỹ,24,67.257.107,57.501.352,,24.0,67257107.0,57501352.0
1.,B. > 1.,1.,Vốn của TCTD,,47.386.343,38.073.428,,,47386343.0,38073428.0
a.,B. > a.,a.,Vốn điều lệ,,45.942.000,36.629.085,,,45942000.0,36629085.0
b.,B. > b.,b.,Thặng dư vốn cổ phần,,1.449.603,1.449.603,,,1449603.0,1449603.0
c.,B. > c.,c.,Cổ phiếu quỹ,,(5.260),(5.260),,,-5260.0,-5260.0
2.,B. > 2.,2.,Quỹ của TCTD,,9.457.552,7.126.212,,,9457552.0,7126212.0
3.,B. > 3.,3.,Lợi nhuận sau thuế chưa phân phối,,10.413.212,12.301.712,,,10413212.0,12301712.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B. > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,885.138.128,741.073.203,,,885138128.0,741073203.0
