row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiện vậntái,Thiết bị dụng cụquản lý,Tài sản cố địnhhửu hình khác,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiện vậntái,numeric__Thiết bị dụng cụquản lý,numeric__Tài sản cố địnhhửu hình khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,678.176,204.834,209.644,436.432,287,1.529.373,678176.0,204834.0,209644.0,436432.0,287.0,1529373.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,7.398,2.820,11.483,69.502,-,91.203,7398.0,2820.0,11483.0,69502.0,,91203.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.251),(17.023),(7.255),(24.542),-,(55.071),-6251.0,-17023.0,-7255.0,-24542.0,,-55071.0
Tăng/(Giám) khác,Nguyên giá > Tăng/(Giám) khác,Tăng/(Giám) khác,(1.053),(446),-,631,-,(868),-1053.0,-446.0,,631.0,,-868.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,678.270,190.185,213.872,482.023,287,1.564.637,678270.0,190185.0,213872.0,482023.0,287.0,1564637.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,201.715,139.748,129.747,235.878,25,707.113,201715.0,139748.0,129747.0,235878.0,25.0,707113.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,21.940,5.570,13.662,45.061,12,86.245,21940.0,5570.0,13662.0,45061.0,12.0,86245.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.045),(16.790),(7.231),(24.191),-,(53.257),-5045.0,-16790.0,-7231.0,-24191.0,,-53257.0
Tăng/(Giám) khác,Giá trị hao mòn lũy kế > Tăng/(Giám) khác,Tăng/(Giám) khác,(85),,-,85,-,-,-85.0,,,85.0,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,218.525,128.528,136.178,256.833,37,740.101,218525.0,128528.0,136178.0,256833.0,37.0,740101.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,476.461,65.086,79.897,200.554,262,822.260,476461.0,65086.0,79897.0,200554.0,262.0,822260.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,459.745,61.657,77.694,225.190,250,824.536,459745.0,61657.0,77694.0,225190.0,250.0,824536.0
