row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy vi tính,Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính,numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.360.370,478.216,20.062,4.858.648,4360370.0,478216.0,20062.0,4858648.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,255.265,-,255.265,,255265.0,,255265.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.360.370,733.481,20.062,5.113.913,4360370.0,733481.0,20062.0,5113913.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.912,333.783,16.811,357.506,6912.0,333783.0,16811.0,357506.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,157,44.880,999,46.036,157.0,44880.0,999.0,46036.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,7.069,378.663,17.810,403.542,7069.0,378663.0,17810.0,403542.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.353.458,144.433,3.251,4.501.142,4353458.0,144433.0,3251.0,4501142.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.353.301,354.818,2.252,4.710.371,4353301.0,354818.0,2252.0,4710371.0
