row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Nông lâm nghiệp và thủy sản,Nông lâm nghiệp và thủy sản,Nông lâm nghiệp và thủy sản,7.854.303,8.865.553,7854303.0,8865553.0
Khai khoáng,Khai khoáng,Khai khoáng,1.425.974,1.139.169,1425974.0,1139169.0
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",35.091.122,33.405.117,35091122.0,33405117.0
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",24.322.379,20.414.796,24322379.0,20414796.0
"Cung cấp nước, quản lý và xử lý rác thải, nước thải","Cung cấp nước, quản lý và xử lý rác thải, nước thải","Cung cấp nước, quản lý và xử lý rác thải, nước thải",965.571,631.534,965571.0,631534.0
Xây dựng,Xây dựng,Xây dựng,89.295.059,58.057.786,89295059.0,58057786.0
"Bản buôn, bán lẻ, sửa chữa ô tô, xe máy và xe có động cơ khác","Bản buôn, bán lẻ, sửa chữa ô tô, xe máy và xe có động cơ khác","Bản buôn, bán lẻ, sửa chữa ô tô, xe máy và xe có động cơ khác",118.161.599,147.987.667,118161599.0,147987667.0
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,22.113.807,20.304.995,22113807.0,20304995.0
"Dịch vụ lưu trú, ăn uống","Dịch vụ lưu trú, ăn uống","Dịch vụ lưu trú, ăn uống",10.765.043,12.118.644,10765043.0,12118644.0
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,131.454,148.159,131454.0,148159.0
"Hoạt động tài chính, ngân hàng, báo hiểm","Hoạt động tài chính, ngân hàng, báo hiểm","Hoạt động tài chính, ngân hàng, báo hiểm",4.027.532,743.778,4027532.0,743778.0
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,204.467.851,126.734.236,204467851.0,126734236.0
"Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ",3.184.922,177.614,3184922.0,177614.0
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,10.745.396,9.286.907,10745396.0,9286907.0
"Hoạt động của Đắng, tổ chức chính trị - xã hội, quản lý Nhà nước, an ninh quốc phòng, báo đảm xã hội bất buộc","Hoạt động của Đắng, tổ chức chính trị - xã hội, quản lý Nhà nước, an ninh quốc phòng, báo đảm xã hội bất buộc","Hoạt động của Đắng, tổ chức chính trị - xã hội, quản lý Nhà nước, an ninh quốc phòng, báo đảm xã hội bất buộc",11.248,13.283,11248.0,13283.0
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,71.626,55.654,71626.0,55654.0
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,230.642,163.420,230642.0,163420.0
"Nghệ thuật, vui chơi, giải trí","Nghệ thuật, vui chơi, giải trí","Nghệ thuật, vui chơi, giải trí",2.469.863,484.660,2469863.0,484660.0
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",11.784.349,9.537.146,11784349.0,9537146.0
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,54.302.512,58.449.871,54302512.0,58449871.0
,,,601.422.252,508.719.989,601422252.0,508719989.0
