row_label_raw,row_label_full,Ông Phạm Hòa Bình,Trường Ban Kiểm soát,numeric__Trường Ban Kiểm soát
Bà Lê Thanh Cấm,Bà Lê Thanh Cấm,Bà Lê Thanh Cấm,Thành viên,
Ông Vũ Xuân Thủy Sơn,Ông Vũ Xuân Thủy Sơn,Ông Vũ Xuân Thủy Sơn,Thành viên,
