row_label_raw,row_label_full,col_0,Số đầu nămTriệu VND,Trình bày lạiTriệu VND,Số đầu năm(Trình bày lại)Triệu VND,numeric__Số đầu nămTriệu VND,numeric__Trình bày lạiTriệu VND,numeric__Số đầu năm(Trình bày lại)Triệu VND
Báo cáo tinh hình tài chính riêng,Báo cáo tinh hình tài chính riêng,Báo cáo tinh hình tài chính riêng,Báo cáo tinh hình tài chính riêng,Báo cáo tinh hình tài chính riêng,Báo cáo tinh hình tài chính riêng,,,
Cho vay khách hàng,Báo cáo tinh hình tài chính riêng > Cho vay khách hàng,Cho vay khách hàng,497.952.391,2.587.778,500.540.169,497952391.0,2587778.0,500540169.0
Cho vay khách hàng,Báo cáo tinh hình tài chính riêng > Cho vay khách hàng,Cho vay khách hàng,506.112.656,2.607.333,508.719.989,506112656.0,2607333.0,508719989.0
Dự phòng rủi ro cho vay khách hàng,Báo cáo tinh hình tài chính riêng > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(8.160.265),(19.555),(8.179.820),-8160265.0,-19555.0,-8179820.0
Tài sản có khác,Báo cáo tinh hình tài chính riêng > Tài sản có khác,Tài sản có khác,45.212.919,(2.587.778),42.625.141,45212919.0,-2587778.0,42625141.0
Các khoản phải thu,Báo cáo tinh hình tài chính riêng > Các khoản phải thu,Các khoản phải thu,32.680.021,(2.607.333),30.072.688,32680021.0,-2607333.0,30072688.0
Dự phòng rủi ro cho các tài sản Có nội bảng khác,Báo cáo tinh hình tài chính riêng > Dự phòng rủi ro cho các tài sản Có nội bảng khác,Dự phòng rủi ro cho các tài sản Có nội bảng khác,(117.355),19.555,(97.800),-117355.0,19555.0,-97800.0
Báo cáo kết quả hoạt động riêng,Báo cáo kết quả hoạt động riêng,Báo cáo kết quả hoạt động riêng,Báo cáo kết quả hoạt động riêng,Báo cáo kết quả hoạt động riêng,Báo cáo kết quả hoạt động riêng,,,
Thu nhập lãi và các khoản thu nhập tương tự,Báo cáo kết quả hoạt động riêng > Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,49.457.531,23.683,49.481.214,49457531.0,23683.0,49481214.0
Thu nhập lãi thuần,Báo cáo kết quả hoạt động riêng > Thu nhập lãi thuần,Thu nhập lãi thuần,20.538.070,23.683,20.561.753,20538070.0,23683.0,20561753.0
Thu nhập từ hoạt động dịch vụ,Báo cáo kết quả hoạt động riêng > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,1.523.791,(23.683),1.500.108,1523791.0,-23683.0,1500108.0
Lãi thuần từ hoạt động dịch vụ,Báo cáo kết quả hoạt động riêng > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,1.271.283,(23.683),1.247.600,1271283.0,-23683.0,1247600.0
Báo cáo lưu chuyển tiền tệ riêng,Báo cáo lưu chuyển tiền tệ riêng,Báo cáo lưu chuyển tiền tệ riêng,Báo cáo lưu chuyển tiền tệ riêng,Báo cáo lưu chuyển tiền tệ riêng,Báo cáo lưu chuyển tiền tệ riêng,,,
Thu nhập lãi và các khoản thu nhập tương tự nhận được,Báo cáo lưu chuyển tiền tệ riêng > Thu nhập lãi và các khoản thu nhập tương tự nhận được,Thu nhập lãi và các khoản thu nhập tương tự nhận được,51.688.353,23.683,51.712.036,51688353.0,23683.0,51712036.0
Thu nhập từ hoạt động dịch vụ nhận được,Báo cáo lưu chuyển tiền tệ riêng > Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập từ hoạt động dịch vụ nhận được,1.336.901,(23.683),1.313.218,1336901.0,-23683.0,1313218.0
Thay đối các khoản cho vay khách hàng,Báo cáo lưu chuyển tiền tệ riêng > Thay đối các khoản cho vay khách hàng,Thay đối các khoản cho vay khách hàng,(81.411.482),2.607.333,(78.804.149),-81411482.0,2607333.0,-78804149.0
Thay đối khác về tài sản hoạt động,Báo cáo lưu chuyển tiền tệ riêng > Thay đối khác về tài sản hoạt động,Thay đối khác về tài sản hoạt động,(12.723.811),(2.607.333),(15.331.144),-12723811.0,-2607333.0,-15331144.0
