row_label_raw,row_label_full,STT,CHÌ TIÊU,Năm nay,Đơn vị: Triệu VNDNăm trước(Trình bày lại),numeric__CHÌ TIÊU,numeric__Năm nay,numeric__Đơn vị: Triệu VNDNăm trước(Trình bày lại)
LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,,,
01.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 01.,01.,Thu nhập lãi và các khoản thu nhập tương tự nhận được,55.859.268,51.712.036,,55859268.0,51712036.0
02.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 02.,02.,Chi phí lãi và các chi phí tương tự đã trả,(33.466.858),(32.406.918),,-33466858.0,-32406918.0
03.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 03.,03.,Thu nhập từ hoạt động dịch vụ nhận được,3.324.348,1.313.218,,3324348.0,1313218.0
04.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 04.,04.,Chênh lệch số tiền thực thu/thực chỉ từ hoạt động kinh doanh ngoại tệ và chứng khoán,374.559,140.025,,374559.0,140025.0
05.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 05.,05.,Thu nhập khác,383.785,677.528,,383785.0,677528.0
06.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 06.,06.,"Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",4.444.391,475.451,,4444391.0,475451.0
07.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 07.,07.,"Tiền chỉ trả cho nhân viên và hoạt động quản lý, công vụ",(6.108.219),(5.436.348),,-6108219.0,-5436348.0
08.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 08.,08.,Tiền thuế thu nhập doanh nghiệp thực nộp trong năm,(2.281.459),(1.836.932),,-2281459.0,-1836932.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đối về tài sản và vốn lưu động,22.529.815,14.638.060,,22529815.0,14638060.0
,,,Những thay đối về tài sản hoạt động,(110.294.080),(114.319.117),,-110294080.0,-114319117.0
09.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 09.,09.,Thay đối các khoản tiền gửi và cho vay các TCTD khác,13.713.065,(15.871.826),,13713065.0,-15871826.0
10.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 10.,10.,Thay đối các khoản về kinh doanh chứng khoán,9.380.211,2.341.062,,9380211.0,2341062.0
11.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 11.,11.,Thay đối các công cụ tài chính phải sinh và các tài sản tài chính khác,(140.580),-,,-140580.0,
12.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 12.,12.,Thay đối các khoản cho vay khách hàng,(92.702.263),(78.804.149),,-92702263.0,-78804149.0
13.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 13.,13.,"Thay đối nguồn dự phòng để xử lý rủi ro, xử lý, bù đắp tổn thất",(5.972.117),(6.653.060),,-5972117.0,-6653060.0
14.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 14.,14.,Thay đối khác về tài sản hoạt động,(34.572.396),(15.331.144),,-34572396.0,-15331144.0
,,,Những thay đối về công nợ hoạt động,122.207.536,110.669.589,,122207536.0,110669589.0
15.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 15.,15.,Thay đối các khoản nợ chính phủ và NHNN,15.310.693,(90.794),,15310693.0,-90794.0
16.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 16.,16.,"Thay đối các khoản tiền gửi, tiền vay các TCTD khác",15.115.424,63.049.589,,15115424.0,63049589.0
17.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 17.,17.,Thay đối tiên gửi của khách hàng,71.549.576,51.477.593,,71549576.0,51477593.0
18.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 18.,18.,Thay đối phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tính vào hoạt động tài chính),5.818.430,(3.573.532),,5818430.0,-3573532.0
19.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 19.,19.,"Thay đối vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",14.374.873,(181.585),,14374873.0,-181585.0
20.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 20.,20.,Thay đối các công cụ tài chính phải sinh và các khoản nợ tài chính khác,(61.927),(35.225),,-61927.0,-35225.0
21.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 21.,21.,Thay đối khác về công nợ hoạt động,139.032,23.543,,139032.0,23543.0
22.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 22.,22.,Chi từ quỹ của tổ chức tín dụng,(38.565),-,,-38565.0,
I.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > I.,I.,Lưu chuyển tiền thuần từ hoạt động kinh doanh,34.443.271,10.988.532,,34443271.0,10988532.0
