row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,1.072.272,1.334.812,1072272.0,1334812.0
Công ty cố phần có hơn 50% Vốn Nhà nước(Nhà nước chiếm cố phần chỉ phối),Công ty cố phần có hơn 50% Vốn Nhà nước(Nhà nước chiếm cố phần chỉ phối),Công ty cố phần có hơn 50% Vốn Nhà nước(Nhà nước chiếm cố phần chỉ phối),3.755.430,4.268.833,3755430.0,4268833.0
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,190.591.123,164.217.110,190591123.0,164217110.0
Công ty Cố phần khác,Công ty Cố phần khác,Công ty Cố phần khác,311.461.787,263.189.567,311461787.0,263189567.0
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,3.244,1.846,3244.0,1846.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,220.735,91.050,220735.0,91050.0
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,795.917,28.933,795917.0,28933.0
Hợp tác xã và Liên hiệp Hợp tác xã,Hợp tác xã và Liên hiệp Hợp tác xã,Hợp tác xã và Liên hiệp Hợp tác xã,20.666,30.663,20666.0,30663.0
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",93.501.078,75.557.175,93501078.0,75557175.0
,,,601.422.252,508.719.989,601422252.0,508719989.0
