row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,7.825.554.369.793,7.301.377.847.723,,300.0,,7825554369793.0,7301377847723.0
I.,I.,I.,Nợ ngắn hạn,310,,3.521.572.571.798,3.653.260.813.635,,310.0,,3521572571798.0,3653260813635.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,18,665.189.516.605,600.156.360.691,,311.0,18.0,665189516605.0,600156360691.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,19,879.139.105.611,1.326.227.807.498,,312.0,19.0,879139105611.0,1326227807498.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,21,232.319.328.196,77.437.326.711,,313.0,21.0,232319328196.0,77437326711.0
4.,4.,4.,Phải trả người lao động,314,,135.344.722.705,177.064.493.486,,314.0,,135344722705.0,177064493486.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,20,964.425.135.359,945.114.868.813,,315.0,20.0,964425135359.0,945114868813.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,22,37.512.536.029,35.513.521.553,,318.0,22.0,37512536029.0,35513521553.0
7.,7.,7.,Phải trả ngắn hạn khác,319,23,199.101.138.515,284.697.873.498,,319.0,23.0,199101138515.0,284697873498.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,24,247.115.559.468,98.887.876.116,,320.0,24.0,247115559468.0,98887876116.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,26,16.462.076.000,12.471.763.634,,321.0,26.0,16462076000.0,12471763634.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,27,144.963.453.310,95.688.921.635,,322.0,27.0,144963453310.0,95688921635.0
II.,II.,II.,Nợ dài hạn,330,,4.303.981.797.995,3.648.117.034.088,,330.0,,4303981797995.0,3648117034088.0
1.,1.,1.,Chi phí phải trả dài hạn,333,20,338.801.485.090,188.387.114.899,,333.0,20.0,338801485090.0,188387114899.0
2.,2.,2.,Doanh thu chưa thực hiện dài hạn,336,22,2.618.021.192.197,2.703.976.927.078,,336.0,22.0,2618021192197.0,2703976927078.0
3.,3.,3.,Phải trả dài hạn khác,337,23,15.467.637.146,18.862.849.122,,337.0,23.0,15467637146.0,18862849122.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,338,25,506.822.412.300,15.422.754.559,,338.0,25.0,506822412300.0,15422754559.0
5.,5.,5.,Dự phòng phải trả dài hạn,342,26,420.166.227.337,401.474.694.017,,342.0,26.0,420166227337.0,401474694017.0
6.,6.,6.,Quỹ phát triển khoa học và công nghệ,343,28,404.702.843.925,319.992.694.413,,343.0,28.0,404702843925.0,319992694413.0
