row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải,"Thiết bị,dụng cụ quản lý",Khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,"numeric__Thiết bị,dụng cụ quản lý",numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.172.142.976.063,1.793.687.987.527,84.912.872.821,16.817.005.962,4.514.137.041,4.072.074.979.414,2172142976063.0,1793687987527.0,84912872821.0,16817005962.0,4514137041.0,4072074979414.0
Mua sắm trong năm,NGUYÊN GIÁ > Mua sắm trong năm,Mua sắm trong năm,46.629.881,519.102.544,3.248.260.000,535.402.727,-,4.349.395.152,46629881.0,519102544.0,3248260000.0,535402727.0,,4349395152.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,123.689.767.343,6.462.348.742,-,-,-,130.152.116.085,123689767343.0,6462348742.0,,,,130152116085.0
Tăng từ tài sản cố định thuể tài chính,NGUYÊN GIÁ > Tăng từ tài sản cố định thuể tài chính,Tăng từ tài sản cố định thuể tài chính,-,-,1.302.805.455,-,-,1.302.805.455,,,1302805455.0,,,1302805455.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,6.391.668.726,(6.715.776.914),292.508.188,31.600.000,-,-,6391668726.0,-6715776914.0,292508188.0,31600000.0,,
"Phân loại lại sang công cụ, dụng cụ theo quyết toán","NGUYÊN GIÁ > Phân loại lại sang công cụ, dụng cụ theo quyết toán","Phân loại lại sang công cụ, dụng cụ theo quyết toán",,(6.458.232.482),-,-,-,(6.458.232.482),,-6458232482.0,,,,-6458232482.0
Thanh lý nhượng bán,NGUYÊN GIÁ > Thanh lý nhượng bán,Thanh lý nhượng bán,(155.341.772),-,-,(281.454.408),-,(436.796.180),-155341772.0,,,-281454408.0,,-436796180.0
(Giảm) khác,NGUYÊN GIÁ > (Giảm) khác,(Giảm) khác,(64.754.000),-,-,-,-,(64.754.000),-64754000.0,,,,,-64754000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.302.050.946.241,1.787.495.429.417,89.756.446.464,17.102.554.281,4.514.137.041,4.200.919.513.444,2302050946241.0,1787495429417.0,89756446464.0,17102554281.0,4514137041.0,4200919513444.0
GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.141.355.748.049,1.233.372.044.089,68.284.949.506,14.719.810.382,4.105.714.019,2.461.838.266.045,1141355748049.0,1233372044089.0,68284949506.0,14719810382.0,4105714019.0,2461838266045.0
