row_label_raw,row_label_full,col_0,Năm nay,Năm nay_1,Năm nay_2,Năm nay_3,Năm trước,Năm trước_1,numeric__Năm nay,numeric__Năm nay_1,numeric__Năm nay_2,numeric__Năm nay_3,numeric__Năm trước,numeric__Năm trước_1
,,,Hoạt độngbắt động sản,Hoạt động SXKDkhác,VNDTổng,Hoạt độngbắt động sản,Hoạt động SXKDkhác,VNDTổng,,,,,,
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,1.606.285.424.201,304.848.783.412,1.911.134.207.613,1.380.498.442.567,329.399.684.873,1.709.898.127.440,1606285424201.0,304848783412.0,1911134207613.0,1380498442567.0,329399684873.0,1709898127440.0
Điều chỉnh cho thu nhập tính thuế,Điều chỉnh cho thu nhập tính thuế,Điều chỉnh cho thu nhập tính thuế,,,,,,,,,,,,
Trừ:,Điều chỉnh cho thu nhập tính thuế > Trừ:,Trừ:,(7.362.512.864),(325.704.843.037),(333.067.355.901),(9.864.168.888),(123.394.283.455),(133.258.452.343),-7362512864.0,-325704843037.0,-333067355901.0,-9864168888.0,-123394283455.0,-133258452343.0
Thu nhập từ cổ tức,Điều chỉnh cho thu nhập tính thuế > Thu nhập từ cổ tức,Thu nhập từ cổ tức,-,(302.899.543.952),(302.899.543.952),-,(130.068.306.762),(130.068.306.762),,-302899543952.0,-302899543952.0,,-130068306762.0,-130068306762.0
Ảnh hưởng của các khoản chênh lệch tạm thời,Điều chỉnh cho thu nhập tính thuế > Ảnh hưởng của các khoản chênh lệch tạm thời,Ảnh hưởng của các khoản chênh lệch tạm thời,(7.362.512.864),(4.860.668.567),(12.223.181.431),(9.864.168.888),6.674.023.307,(3.190.145.581),-7362512864.0,-4860668567.0,-12223181431.0,-9864168888.0,6674023307.0,-3190145581.0
Điều chỉnh theo quyết định thanh tra thuế (*),Điều chỉnh cho thu nhập tính thuế > Điều chỉnh theo quyết định thanh tra thuế (*),Điều chỉnh theo quyết định thanh tra thuế (*),-,(17.944.630.518),(17.944.630.518),-,-,-,,-17944630518.0,-17944630518.0,,,
Cộng:,Điều chỉnh cho thu nhập tính thuế > Cộng:,Cộng:,48.552.035.609,51.189.254.832,99.741.290.441,3.742.118.393,24.920.875.652,28.662.994.045,48552035609.0,51189254832.0,99741290441.0,3742118393.0,24920875652.0,28662994045.0
Chi phí không được trừ khác,Điều chỉnh cho thu nhập tính thuế > Chi phí không được trừ khác,Chi phí không được trừ khác,6.645.957.156,51.189.254.832,57.835.211.988,3.742.118.393,11.149.589.474,14.891.707.867,6645957156.0,51189254832.0,57835211988.0,3742118393.0,11149589474.0,14891707867.0
Ảnh hưởng của các khoản chênh lệch tạm thời,Điều chỉnh cho thu nhập tính thuế > Ảnh hưởng của các khoản chênh lệch tạm thời,Ảnh hưởng của các khoản chênh lệch tạm thời,41.906.078.453,-,41.906.078.453,-,13.771.286.178,13.771.286.178,41906078453.0,,41906078453.0,,13771286178.0,13771286178.0
Thu nhập tính thuế năm hiện hành,Điều chỉnh cho thu nhập tính thuế > Thu nhập tính thuế năm hiện hành,Thu nhập tính thuế năm hiện hành,1.647.474.946.946,30.333.195.207,1.677.808.142.153,1.374.376.392.072,230.926.277.070,1.605.302.669.142,1647474946946.0,30333195207.0,1677808142153.0,1374376392072.0,230926277070.0,1605302669142.0
Thu nhập chịu thuế suất 20%,Điều chỉnh cho thu nhập tính thuế > Thu nhập chịu thuế suất 20%,Thu nhập chịu thuế suất 20%,1.646.634.195.578,(9.388.614.321),1.637.245.581.257,1.377.566.362.156,185.440.954.632,1.563.007.316.788,1646634195578.0,-9388614321.0,1637245581257.0,1377566362156.0,185440954632.0,1563007316788.0
Thu nhập chịu thuế suất 17%,Điều chỉnh cho thu nhập tính thuế > Thu nhập chịu thuế suất 17%,Thu nhập chịu thuế suất 17%,-,-,-,-,10.911.058.592,10.911.058.592,,,,,10911058592.0,10911058592.0
Thu nhập chịu thuế suất 10%,Điều chỉnh cho thu nhập tính thuế > Thu nhập chịu thuế suất 10%,Thu nhập chịu thuế suất 10%,840.751.368,39.721.809.528,40.562.560.896,(3.189.970.084),34.574.263.846,31.384.293.762,840751368.0,39721809528.0,40562560896.0,-3189970084.0,34574263846.0,31384293762.0
Chi phí thuế thu nhập doanh nghiệp phát sinh,Điều chỉnh cho thu nhập tính thuế > Chi phí thuế thu nhập doanh nghiệp phát sinh,Chi phí thuế thu nhập doanh nghiệp phát sinh,329.410.914.253,2.094.458.089,331.505.372.342,275.194.275.423,42.400.497.273,317.594.772.696,329410914253.0,2094458089.0,331505372342.0,275194275423.0,42400497273.0,317594772696.0
Trừ: Số thuế thu nhập doanh nghiệp được miễn giảm,Điều chỉnh cho thu nhập tính thuế > Trừ: Số thuế thu nhập doanh nghiệp được miễn giảm,Trừ: Số thuế thu nhập doanh nghiệp được miễn giảm,-,(1.986.090.478),(1.986.090.478),-,(3.583.593.153),(3.583.593.153),,-1986090478.0,-1986090478.0,,-3583593153.0,-3583593153.0
Chi phí thuế thu nhập doanh nghiệp năm hiện hành,Điều chỉnh cho thu nhập tính thuế > Chi phí thuế thu nhập doanh nghiệp năm hiện hành,Chi phí thuế thu nhập doanh nghiệp năm hiện hành,329.410.914.253,108.367.611,329.519.281.864,275.194.275.423,38.816.904.120,314.011.179.543,329410914253.0,108367611.0,329519281864.0,275194275423.0,38816904120.0,314011179543.0
