row_label_raw,row_label_full,col_0,Nhà xưởng và quyềnsử dụng đấtVND,Cơ sở hạ tầngVND,TổngVND,numeric__Nhà xưởng và quyềnsử dụng đấtVND,numeric__Cơ sở hạ tầngVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,1.251.707.621.398,8.007.860.794.765,9.259.568.416.163,1251707621398.0,8007860794765.0,9259568416163.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,66.592.728.661,1.556.963.242.526,1.623.555.971.187,66592728661.0,1556963242526.0,1623555971187.0
Điều chỉnh theo quyếttoán,NGUYÊN GIÁ > Điều chỉnh theo quyếttoán,Điều chỉnh theo quyếttoán,(2.696.174.893),6.096.129.282,3.399.954.389,-2696174893.0,6096129282.0,3399954389.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,1.315.604.175.166,9.570.920.166.573,10.886.524.341.739,1315604175166.0,9570920166573.0,10886524341739.0
GIÁ TRỊ HAO MÒN LỦYKẾ,GIÁ TRỊ HAO MÒN LỦYKẾ,GIÁ TRỊ HAO MÒN LỦYKẾ,GIÁ TRỊ HAO MÒN LỦYKẾ,GIÁ TRỊ HAO MÒN LỦYKẾ,GIÁ TRỊ HAO MÒN LỦYKẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦYKẾ > Số dư đầu năm,Số dư đầu năm,406.458.304.079,6.914.785.514.032,7.321.243.818.111,406458304079.0,6914785514032.0,7321243818111.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦYKẾ > Khấu hao trong năm,Khấu hao trong năm,42.582.828.700,1.593.394.849.285,1.635.977.677.985,42582828700.0,1593394849285.0,1635977677985.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦYKẾ > Phân loại lại,Phân loại lại,238.291.654,(238.291.654),,238291654.0,-238291654.0,
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦYKẾ > Số dư cuối năm,Số dư cuối năm,449.279.424.433,8.507.942.071.663,8.957.221.496.096,449279424433.0,8507942071663.0,8957221496096.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,845.249.317.319,1.093.075.280.733,1.938.324.598.052,845249317319.0,1093075280733.0,1938324598052.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,866.324.750.733,1.062.978.094.910,1.929.302.845.643,866324750733.0,1062978094910.0,1929302845643.0
