row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Bản quyền, bằng sáng chế",Phần mềm máy tính,"Chi phí đền bù, san lắp mặt bằng",Khác,Tổng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế",numeric__Phần mềm máy tính,"numeric__Chi phí đền bù, san lắp mặt bằng",numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,68.545.687.797,3.305.486.937,3.272.288.914,93.259.704.164,8.674.997.834,177.058.165.646,68545687797.0,3305486937.0,3272288914.0,93259704164.0,8674997834.0,177058165646.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,68.545.687.797,3.305.486.937,3.272.288.914,93.259.704.164,8.674.997.834,177.058.165.646,68545687797.0,3305486937.0,3272288914.0,93259704164.0,8674997834.0,177058165646.0
GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,GIÁ TRI HAO MÔN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRI HAO MÔN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,9.578.094.351,915.417.665,3.158.099.356,20.556.479.655,1.445.832.960,35.653.923.987,9578094351.0,915417665.0,3158099356.0,20556479655.0,1445832960.0,35653923987.0
Khẩu hao trong năm,GIÁ TRI HAO MÔN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,515.531.976,275.457.252,79.421.903,2.186.773.804,433.749.888,3.490.934.823,515531976.0,275457252.0,79421903.0,2186773804.0,433749888.0,3490934823.0
Số dư cuối năm,GIÁ TRI HAO MÔN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,10.093.626.327,1.190.874.917,3.237.521.259,22.743.253.459,1.879.582.848,39.144.858.810,10093626327.0,1190874917.0,3237521259.0,22743253459.0,1879582848.0,39144858810.0
GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRI CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,58.967.593.446,2.390.069.272,114.189.558,72.703.224.509,7.229.164.874,141.404.241.659,58967593446.0,2390069272.0,114189558.0,72703224509.0,7229164874.0,141404241659.0
Tại ngày cuối năm,GIÁ TRI CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,58.452.061.470,2.114.612.020,34.767.655,70.516.450.705,6.795.414.986,137.913.306.836,58452061470.0,2114612020.0,34767655.0,70516450705.0,6795414986.0,137913306836.0
