row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,4.483.500.000.000,931.212.247.586,176.246.955.023,1.007.221.022.628,6.598.180.225.237,4483500000000.0,931212247586.0,176246955023.0,1007221022628.0,6598180225237.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,,1.398.003.176.016,1.398.003.176.016,,,,1398003176016.0,1398003176016.0
Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,-,-,252.946.541.604,(252.946.541.604),-,,,252946541604.0,-252946541604.0,
Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng người quản lý hoàn thành kế hoạch,Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng người quản lý hoàn thành kế hoạch,Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng người quản lý hoàn thành kế hoạch,-,-,-,(81.749.481.024),(81.749.481.024),,,,-81749481024.0,-81749481024.0
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,,(1.120.875.000.000),(1.120.875.000.000),,,,-1120875000000.0,-1120875000000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,4.483.500.000.000,931.212.247.586,429.193.496.627,949.653.176.016,6.793.558.920.229,4483500000000.0,931212247586.0,429193496627.0,949653176016.0,6793558920229.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,1.577.983.118.297,1.577.983.118.297,,,,1577983118297.0,1577983118297.0
Trích Quỹ Đầu tư phát triển (i),Trích Quỹ Đầu tư phát triển (i),Trích Quỹ Đầu tư phát triển (i),-,-,419.129.946.147,(419.129.946.147),-,,,419129946147.0,-419129946147.0,
Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng người quản lý hoàn thành kế hoạch (i),Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng người quản lý hoàn thành kế hoạch (i),Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng người quản lý hoàn thành kế hoạch (i),-,-,-,(82.173.229.869),(82.173.229.869),,,,-82173229869.0,-82173229869.0
Trả cổ tức (i) (ii),Trả cổ tức (i) (ii),Trả cổ tức (i) (ii),-,-,-,(896.700.000.000),(896.700.000.000),,,,-896700000000.0,-896700000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.483.500.000.000,931.212.247.586,848.323.442.774,1.129.633.118.297,7.392.668.808.657,4483500000000.0,931212247586.0,848323442774.0,1129633118297.0,7392668808657.0
