row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ
Công ty TNHH Xây dựng,Công ty TNHH Xây dựng,Công ty TNHH Xây dựng,48.198.184.577,48.198.184.577,4.578.531.765,4.578.531.765,48198184577.0,48198184577.0,4578531765.0,4578531765.0
Thương mại và Vận tải,Thương mại và Vận tải,Thương mại và Vận tải,,,,,,,,
Tuấn Kiệt,Tuấn Kiệt,Tuấn Kiệt,,,,,,,,
Công ty TNHH Thiết bị Hệ thống L.P.G,Tuấn Kiệt > Công ty TNHH Thiết bị Hệ thống L.P.G,Công ty TNHH Thiết bị Hệ thống L.P.G,48.012.578.764,48.012.578.764,42.621.511.925,42.621.511.925,48012578764.0,48012578764.0,42621511925.0,42621511925.0
Công ty Cổ phần Xây dựng,Tuấn Kiệt > Công ty Cổ phần Xây dựng,Công ty Cổ phần Xây dựng,47.144.747.524,47.144.747.524,21.927.044.130,21.927.044.130,47144747524.0,47144747524.0,21927044130.0,21927044130.0
Bắc Ninh,Bắc Ninh,Bắc Ninh,,,,,,,,
Công ty TNHH Ecoba Công nghệ Môi trường,Bắc Ninh > Công ty TNHH Ecoba Công nghệ Môi trường,Công ty TNHH Ecoba Công nghệ Môi trường,25.049.764.272,25.049.764.272,19.121.489.654,19.121.489.654,25049764272.0,25049764272.0,19121489654.0,19121489654.0
Công ty Cổ phần Phúc Hưng,Bắc Ninh > Công ty Cổ phần Phúc Hưng,Công ty Cổ phần Phúc Hưng,23.020.003.066,23.020.003.066,6.402.257.507,6.402.257.507,23020003066.0,23020003066.0,6402257507.0,6402257507.0
Công ty Cổ phần Xây dựng,Bắc Ninh > Công ty Cổ phần Xây dựng,Công ty Cổ phần Xây dựng,21.660.137.110,21.660.137.110,-,-,21660137110.0,21660137110.0,,
Hạ tầng 379,Hạ tầng 379,Hạ tầng 379,,,,,,,,
Công ty Cổ phần Xây lắp,Hạ tầng 379 > Công ty Cổ phần Xây lắp,Công ty Cổ phần Xây lắp,13.940.131.602,13.940.131.602,-,-,13940131602.0,13940131602.0,,
Giao thông Công Chính,Giao thông Công Chính,Giao thông Công Chính,,,,,,,,
Công ty TNHH Đầu tư Xây dựng và Công nghệ Môi trường Dương Nhật,Giao thông Công Chính > Công ty TNHH Đầu tư Xây dựng và Công nghệ Môi trường Dương Nhật,Công ty TNHH Đầu tư Xây dựng và Công nghệ Môi trường Dương Nhật,12.386.302.907,12.386.302.907,21.437.818.759,21.437.818.759,12386302907.0,12386302907.0,21437818759.0,21437818759.0
Công ty TNHH Xây dựng,Giao thông Công Chính > Công ty TNHH Xây dựng,Công ty TNHH Xây dựng,9.666.902.820,9.666.902.820,26.203.441.550,26.203.441.550,9666902820.0,9666902820.0,26203441550.0,26203441550.0
Tiền Du,Tiền Du,Tiền Du,,,,,,,,
Công ty TNHH Mitsui Việt Nam,Tiền Du > Công ty TNHH Mitsui Việt Nam,Công ty TNHH Mitsui Việt Nam,9.056.597.201,9.056.597.201,12.769.718.325,12.769.718.325,9056597201.0,9056597201.0,12769718325.0,12769718325.0
Tổng Công ty Vật liệu xây dựng Số 1 - CTCP,Tiền Du > Tổng Công ty Vật liệu xây dựng Số 1 - CTCP,Tổng Công ty Vật liệu xây dựng Số 1 - CTCP,5.478.999.327,5.478.999.327,10.849.587.168,10.849.587.168,5478999327.0,5478999327.0,10849587168.0,10849587168.0
Công ty TNHH Khai thác và Xây dựng công nghiệp Trung Nguyên,Tiền Du > Công ty TNHH Khai thác và Xây dựng công nghiệp Trung Nguyên,Công ty TNHH Khai thác và Xây dựng công nghiệp Trung Nguyên,5.572.425.854,5.572.425.854,37.959.554.099,37.959.554.099,5572425854.0,5572425854.0,37959554099.0,37959554099.0
Công ty TNHH MTV,Tiền Du > Công ty TNHH MTV,Công ty TNHH MTV,3.223.832.239,3.223.832.239,13.269.469.471,13.269.469.471,3223832239.0,3223832239.0,13269469471.0,13269469471.0
"Thương mại, Dịch vụ và Xây dựng công nghệ môi trường Nước Xanh","Thương mại, Dịch vụ và Xây dựng công nghệ môi trường Nước Xanh","Thương mại, Dịch vụ và Xây dựng công nghệ môi trường Nước Xanh",,,,,,,,
Các đối tượng khác,"Thương mại, Dịch vụ và Xây dựng công nghệ môi trường Nước Xanh > Các đối tượng khác",Các đối tượng khác,392.778.909.342,392.778.909.342,383.015.936.338,383.015.936.338,392778909342.0,392778909342.0,383015936338.0,383015936338.0
,,,665.189.516.605,665.189.516.605,600.156.360.691,600.156.360.691,665189516605.0,665189516605.0,600156360691.0,600156360691.0
