row_label_raw,row_label_full,col_0,"Kinh doanh, cho thuê,quản lý vận hành Bắtđộng sản và xây dựng","Sản xuất vàkinh doanh kính, gưỡng","Sản xuất và kinh doanhsứ, sen vòi",Thương mại vàdịch vụ khác,Tổng cộng các bộ phận,"numeric__Kinh doanh, cho thuê,quản lý vận hành Bắtđộng sản và xây dựng","numeric__Sản xuất vàkinh doanh kính, gưỡng","numeric__Sản xuất và kinh doanhsứ, sen vòi",numeric__Thương mại vàdịch vụ khác,numeric__Tổng cộng các bộ phận
Doanh thu thuần từ bán hàng và dịchvụ,Doanh thu thuần từ bán hàng và dịchvụ,Doanh thu thuần từ bán hàng và dịchvụ,4.323.114.623.028,1.265.481.707.404,678.597.529.528,38.103.899.314,6.305.297.759.274,4323114623028.0,1265481707404.0,678597529528.0,38103899314.0,6305297759274.0
Chi phí hoạt động bộ phận,Chi phí hoạt động bộ phận,Chi phí hoạt động bộ phận,2.502.231.314.479,953.193.502.105,560.271.137.374,34.393.686.531,4.050.089.640.489,2502231314479.0,953193502105.0,560271137374.0,34393686531.0,4050089640489.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,1.820.883.308.549,312.288.205.299,118.326.392.154,3.710.212.783,2.255.208.118.785,1820883308549.0,312288205299.0,118326392154.0,3710212783.0,2255208118785.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,704.880.264.724,,,,,704880264724.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,1.550.327.854.061,,,,,1550327854061.0
Lãi từ hoạt động khác,Lãi từ hoạt động khác,Lãi từ hoạt động khác,,,,,48.468.144.076,,,,,48468144076.0
Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,,,,,111.102.129.303,,,,,111102129303.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,1.709.898.127.440,,,,,1709898127440.0
Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,,,,,311.894.951.424,,,,,311894951424.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,1.398.003.176.016,,,,,1398003176016.0
