row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
III.,III.,III.,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. > 1.,1.,Tiền thu từ đi vay,33,1.054.427.730.133,106.458.371.179,,33.0,1054427730133.0,106458371179.0
2.,III. > 2.,2.,Tiền trả nợ gốc vay,34,(412.058.593.040),(156.508.544.928),,34.0,-412058593040.0,-156508544928.0
3.,III. > 3.,3.,Tiền trả nợ gốc thuê tài chính,35,(2.741.796.000),(2.408.929.000),,35.0,-2741796000.0,-2408929000.0
4.,III. > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(896.842.878.500),(1.120.469.155.750),,36.0,-896842878500.0,-1120469155750.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(257.215.537.407),(1.172.928.258.499),,40.0,-257215537407.0,-1172928258499.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,(343.607.848.228),(1.047.649.499.062),,50.0,-343607848228.0,-1047649499062.0
,,,Tiền và tương đương tiền đầu năm,60,971.319.796.063,2.019.751.201.364,,60.0,971319796063.0,2019751201364.0
,,,Ảnh hưởng của thay đối tỷ giá hối đoái quy đổi ngoại tệ,61,2.117.352.554,(781.906.239),,61.0,2117352554.0,-781906239.0
,,,Tiền và tương đương tiền cuối năm (70=50+60+61),70,629.829.300.389,971.319.796.063,,70.0,629829300389.0,971319796063.0
