row_label_raw,row_label_full,col_0,Tỷ lệ,Số tiền,numeric__Tỷ lệ,numeric__Số tiền
,,,%,VND,,
Lợi nhuận đề phân phối,Lợi nhuận đề phân phối,Lợi nhuận đề phân phối,,1.398.003.176.016,,1398003176016.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,,80.000.000.000,,80000000000.0
Trích quỹ thưởng người quản lý hoàn thành kế hoạch,Trích quỹ thưởng người quản lý hoàn thành kế hoạch,Trích quỹ thưởng người quản lý hoàn thành kế hoạch,"1,5 tháng lương người quản lý",2.173.229.869,,2173229869.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,,419.129.946.147,,419129946147.0
Lợi nhuận còn lại sau khi trích các quỹ,Lợi nhuận còn lại sau khi trích các quỹ,Lợi nhuận còn lại sau khi trích các quỹ,,896.700.000.000,,896700000000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,20% vốn điều lệ,896.700.000.000,,896700000000.0
Trong đó:,Trong đó:,Trong đó:,,,,
Đã tạm ứng trong năm 2022 theo Nghị quyết số 176/TCT-NQĐHCD,Trong đó: > Đã tạm ứng trong năm 2022 theo Nghị quyết số 176/TCT-NQĐHCD,Đã tạm ứng trong năm 2022 theo Nghị quyết số 176/TCT-NQĐHCD,,448.350.000.000,,448350000000.0
Cổ tức trả trong năm 2023,Trong đó: > Cổ tức trả trong năm 2023,Cổ tức trả trong năm 2023,,448.350.000.000,,448350000000.0
