row_label_raw,row_label_full,col_0,Máy móc thiết bị VND,Phương tiện vận tải VND,Tổng VND,numeric__Máy móc thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,8.574.787.545,7.579.541.819,16.154.329.364,8574787545.0,7579541819.0,16154329364.0
Chuyển sang Tài sản cố định hữu hình,NGUYÊN GIÁ > Chuyển sang Tài sản cố định hữu hình,Chuyển sang Tài sản cố định hữu hình,-,(1.302.805.455),(1.302.805.455),,-1302805455.0,-1302805455.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,8.574.787.545,6.276.736.364,14.851.523.909,8574787545.0,6276736364.0,14851523909.0
GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.476.585.809,2.963.572.010,4.440.157.819,1476585809.0,2963572010.0,4440157819.0
Khấu hao trong năm,GIÁ TRI HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.386.909.016,888.998.938,2.275.907.954,1386909016.0,888998938.0,2275907954.0
Chuyển sang Tài sản cố định hữu hình,GIÁ TRI HAO MÒN LỦY KẾ > Chuyển sang Tài sản cố định hữu hình,Chuyển sang Tài sản cố định hữu hình,-,(1.302.805.455),(1.302.805.455),,-1302805455.0,-1302805455.0
Số dư cuối năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,2.863.494.825,2.549.765.493,5.413.260.318,2863494825.0,2549765493.0,5413260318.0
GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRI CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,7.098.201.736,4.615.969.809,11.714.171.545,7098201736.0,4615969809.0,11714171545.0
Tại ngày cuối năm,GIÁ TRI CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,5.711.292.720,3.726.970.871,9.438.263.591,5711292720.0,3726970871.0,9438263591.0
