row_label_raw,row_label_full,col_0,31.12.2023VND,31.12.2022VND,numeric__31.12.2023VND,numeric__31.12.2022VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,
Seatown Private Credit Master Fund (i),Vay ngắn hạn > Seatown Private Credit Master Fund (i),Seatown Private Credit Master Fund (i),2.143.099.200.000,769.445.250.000,2143099200000.0,769445250000.0
Stark1st Co. Ltd. (ii),Vay ngắn hạn > Stark1st Co. Ltd. (ii),Stark1st Co. Ltd. (ii),1.221.000.000.000,-,1221000000000.0,
"Credit Suisse AG, Chi nhánh Singapore (iii)","Vay ngắn hạn > Credit Suisse AG, Chi nhánh Singapore (iii)","Credit Suisse AG, Chi nhánh Singapore (iii)",1.343.100.000.000,130.515.000.000,1343100000000.0,130515000000.0
Credit Opportunities III Pte. Limited (iv),Vay ngắn hạn > Credit Opportunities III Pte. Limited (iv),Credit Opportunities III Pte. Limited (iv),586.080.000.000,1.221.235.285.830,586080000000.0,1221235285830.0
Công ty Cổ phần Kinh doanh Nhà Nova (v),Vay ngắn hạn > Công ty Cổ phần Kinh doanh Nhà Nova (v),Công ty Cổ phần Kinh doanh Nhà Nova (v),163.398.377.712,214.762.630.534,163398377712.0,214762630534.0
Khác (v),Vay ngắn hạn > Khác (v),Khác (v),2.782.056.618.757,2.893.610.704.654,2782056618757.0,2893610704654.0
,,,8.238.734.196.469,5.229.568.871.018,8238734196469.0,5229568871018.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,
Credit Opportunities III Pte. Limited (iv),Vay dài hạn > Credit Opportunities III Pte. Limited (iv),Credit Opportunities III Pte. Limited (iv),1.758.240.000.000,1.151.764.714.170,1758240000000.0,1151764714170.0
"Credit Suisse AG, Chi nhánh Singapore (iii)","Vay dài hạn > Credit Suisse AG, Chi nhánh Singapore (iii)","Credit Suisse AG, Chi nhánh Singapore (iii)",-,1.174.635.000.000,,1174635000000.0
Seatown Private Credit Master Fund (i),Vay dài hạn > Seatown Private Credit Master Fund (i),Seatown Private Credit Master Fund (i),-,1.573.417.650.000,,1573417650000.0
Stark1st Co. Ltd. (ii),Vay dài hạn > Stark1st Co. Ltd. (ii),Stark1st Co. Ltd. (ii),-,1.186.500.000.000,,1186500000000.0
,,,1.758.240.000.000,5.086.317.364.170,1758240000000.0,5086317364170.0
