row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Nhân hiệu, tên thương mại VND",Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Nhân hiệu, tên thương mại VND",numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,57.754.517.947,30.000.000,108.577.246.075,166.361.764.022,57754517947.0,30000000.0,108577246075.0,166361764022.0
Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 16),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 16),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 16),-,-,3.943.422.500,3.943.422.500,,,3943422500.0,3943422500.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,57.754.517.947,30.000.000,112.520.668.575,170.305.186.522,57754517947.0,30000000.0,112520668575.0,170305186522.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2023,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,-,(30.000.000),(83.178.738.177),(83.208.738.177),,-30000000.0,-83178738177.0,-83208738177.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,-,(17.272.061.135),(17.272.061.135),,,-17272061135.0,-17272061135.0
Tại ngày 31 tháng 12 năm 2023,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,-,(30.000.000),(100.450.799.312),(100.480.799.312),,-30000000.0,-100450799312.0,-100480799312.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,57.754.517.947,-,25.398.507.898,83.153.025.845,57754517947.0,,25398507898.0,83153025845.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,57.754.517.947,-,12.069.869.263,69.824.387.210,57754517947.0,,12069869263.0,69824387210.0
