row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Nhà cửa, vật kiến trúc VND",Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,75.092.806.364,3.429.670.732.583,34.534.901.897,3.539.298.440.844,75092806364.0,3429670732583.0,34534901897.0,3539298440844.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.070.539.617,-,1.070.539.617,,1070539617.0,,1070539617.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,1.108.171.209.634,-,1.108.171.209.634,,1108171209634.0,,1108171209634.0
Chuyển từ tài sản cố định hữu hình (Thuyết minh 13),Nguyên giá > Chuyển từ tài sản cố định hữu hình (Thuyết minh 13),Chuyển từ tài sản cố định hữu hình (Thuyết minh 13),-,1.507.548.176.500,-,1.507.548.176.500,,1507548176500.0,,1507548176500.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(41.468.302.078),-,(41.468.302.078),,-41468302078.0,,-41468302078.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,75.092.806.364,6.004.992.356.256,34.534.901.897,6.114.620.064.517,75092806364.0,6004992356256.0,34534901897.0,6114620064517.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2023,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,-,(397.833.621.926),(575.581.698),(398.409.203.624),,-397833621926.0,-575581698.0,-398409203624.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(90.685.810.079),(1.726.745.096),(92.412.555.175),,-90685810079.0,-1726745096.0,-92412555175.0
Chuyển từ tài sản cố định hữu hình (Thuyết minh 13),Khấu hao lũy kế > Chuyển từ tài sản cố định hữu hình (Thuyết minh 13),Chuyển từ tài sản cố định hữu hình (Thuyết minh 13),-,(87.908.025.485),-,(87.908.025.485),,-87908025485.0,,-87908025485.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,7.358.601.991,-,7.358.601.991,,7358601991.0,,7358601991.0
Tại ngày 31 tháng 12 năm 2023,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,-,(569.068.855.499),(2.302.326.794),(571.371.182.293),,-569068855499.0,-2302326794.0,-571371182293.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,75.092.806.364,3.031.837.110.657,33.959.320.199,3.140.889.237.220,75092806364.0,3031837110657.0,33959320199.0,3140889237220.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,75.092.806.364,5.435.923.500.757,32.232.575.103,5.543.248.882.224,75092806364.0,5435923500757.0,32232575103.0,5543248882224.0
