row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Tại ngày 31 tháng 12 năm > 2023 VND,Tại ngày 31 tháng 12 năm > 2022 VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2023 VND,numeric__Tại ngày 31 tháng 12 năm > 2022 VND
300,300,300,NỘ PHẢI TRẢ,,196.183.529.500.722,212.917.145.787.856,,,196183529500722.0,212917145787856.0
310,310,310,Nợ ngắn hạn,,87.282.658.320.119,78.174.120.549.026,,,87282658320119.0,78174120549026.0
311,311,311,Phải trả người bán ngắn hạn,18,9.876.727.746.646,10.541.134.728.752,,18.0,9876727746646.0,10541134728752.0
312,312,312,Người mua trả tiền trước ngắn hạn,19,19.114.956.528.914,15.962.589.533.396,,19.0,19114956528914.0,15962589533396.0
313,313,313,Thuế và các khoản phải nộp Nhà nước,20(b),1.087.318.344.902,836.356.436.163,,,1087318344902.0,836356436163.0
314,314,314,Phải trả người lao động,21,11.034.456.956,6.515.581.060,,21.0,11034456956.0,6515581060.0
315,315,315,Chi phí phải trả ngắn hạn,22(a),9.991.089.269.430,8.300.430.613.154,,,9991089269430.0,8300430613154.0
318,318,318,Doanh thu chưa thực hiện ngắn hạn,23(a),1.395.098.660,435.435.329,,,1395098660.0,435435329.0
319,319,319,Phải trả ngắn hạn khác,24(a),16.238.721.209.989,13.315.137.416.630,,,16238721209989.0,13315137416630.0
320,320,320,Vay ngắn hạn,25(a),30.937.469.509.389,29.202.383.656.301,,,30937469509389.0,29202383656301.0
321,321,321,Dự phòng phải trả ngắn hạn,,19.111.447.884,4.302.440.892,,,19111447884.0,4302440892.0
322,322,322,"Quỹ khen thưởng, phúc lợi",,4.834.707.349,4.834.707.349,,,4834707349.0,4834707349.0
330,330,330,Nợ dài hạn,,108.900.871.180.603,134.743.025.238.830,,,108900871180603.0,134743025238830.0
333,333,333,Chi phí phải trả dài hạn,22(b),1.459.188.712.055,-,,,1459188712055.0,
336,336,336,Doanh thu chưa thực hiện dài hạn,23(b),77.625.827.089,12.968.787.945,,,77625827089.0,12968787945.0
337,337,337,Phải trả dài hạn khác,24(b),66.619.950.911.962,86.214.819.255.246,,,66619950911962.0,86214819255246.0
338,338,338,Vay dài hạn,25(b),26.774.936.365.837,35.666.512.929.989,,,26774936365837.0,35666512929989.0
341,341,341,Thuế thu nhập hoãn lại phải trả,38(a),13.707.696.719.409,12.616.064.305.061,,,13707696719409.0,12616064305061.0
342,342,342,Dự phòng phải trả dài hạn,26,261.472.644.251,232.659.960.589,,26.0,261472644251.0,232659960589.0
400,400,400,VÔN CHỦ SỞ HỮ'U,,45.302.850.042.403,44.817.730.380.165,,,45302850042403.0,44817730380165.0
410,410,410,Vốn chủ sở hữu,,45.302.850.042.403,44.817.730.380.165,,,45302850042403.0,44817730380165.0
411,411,411,Vốn góp của chủ sở hữu,"27, 28",19.501.045.380.000,19.501.045.380.000,,,19501045380000.0,19501045380000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,19.501.045.380.000,19.501.045.380.000,,,19501045380000.0,19501045380000.0
412,412,412,Thặng dư vốn cổ phần,28,5.051.601.924.626,5.051.601.924.626,,28.0,5051601924626.0,5051601924626.0
421,421,421,"Lợi nhuận sau thuế (""LNST"") chưa phân phối",28,13.494.207.570.271,12.888.775.711.396,,28.0,13494207570271.0,12888775711396.0
421a,421a,421a,- LNST chưa phân phối lũy kế của các năm trước,,12.888.775.711.396,10.707.524.273.613,,,12888775711396.0,10707524273613.0
421b,421b,421b,- LNST chưa phân phối năm nay,,605.431.858.875,2.181.251.437.783,,,605431858875.0,2181251437783.0
429,429,429,Lợi ích cổ đông không kiểm soát,28,7.255.995.167.506,7.376.307.364.143,,28.0,7255995167506.0,7376307364143.0
440,440,440,TỔNG NGUỐN VỐN,,241.486.379.543.125,257.734.876.168.021,,,241486379543125.0,257734876168021.0
