row_label_raw,row_label_full,col_0,col_1,1.1.2023 VND,Số phát sinh trong năm VND,Cần trừ trong năm VND,Số đã thực nộp trong năm VND,Bán công ty con VND,31.12.2023 VND,numeric__col_1,numeric__1.1.2023 VND,numeric__Số phát sinh trong năm VND,numeric__Cần trừ trong năm VND,numeric__Số đã thực nộp trong năm VND,numeric__Bán công ty con VND,numeric__31.12.2023 VND
(a),(a),(a),Phải thu,,,,,,,,,,,,,
(a),(a) > (a),(a),Thuế GTGT được khấu trừ,(1.340.790.392.817),(433.602.380.036),510.979.201.311,-,46.907.632.211,(1.216.505.939.331),,-1340790392817.0,-433602380036.0,510979201311.0,,46907632211.0,-1216505939331.0
(a),(a) > (a),(a),Thuế TNDN tạm nộp 1%,(255.069.586.092),(6.954.874.951),12.640.161.526,(7.621.736.965),-,(257.006.036.482),,-255069586092.0,-6954874951.0,12640161526.0,-7621736965.0,,-257006036482.0
(a),(a) > (a),(a),Thuế TNDN nộp thừa,(5.157.696.736),(1.431.581.329),1.421.970.947,-,-,(5.167.307.118),,-5157696736.0,-1431581329.0,1421970947.0,,,-5167307118.0
(a),(a) > (a),(a),Thuế khác,(2.958.537.772),(11.472.146),2.713.736.080,(40.634.801),-,(296.908.639),,-2958537772.0,-11472146.0,2713736080.0,-40634801.0,,-296908639.0
(a),(a) > (a),(a),,(1.603.976.213.417),(442.000.308.462),527.755.069.864,(7.662.371.766),46.907.632.211,(1.478.976.191.570),,-1603976213417.0,-442000308462.0,527755069864.0,-7662371766.0,46907632211.0,-1478976191570.0
(b),(b),(b),Phải nộp,,,,,,,,,,,,,
(b),(b) > (b),(b),Thuế TNDN - hiện hành,668.676.910.192,438.354.233.319,(14.062.132.473),(408.457.788.211),(3.951.860.552),680.559.362.275,,668676910192.0,438354233319.0,-14062132473.0,-408457788211.0,-3951860552.0,680559362275.0
(b),(b) > (b),(b),Thuế GTGT,136.156.768.605,853.177.360.301,(513.692.937.391),(159.891.200.274),-,315.749.991.241,,136156768605.0,853177360301.0,-513692937391.0,-159891200274.0,,315749991241.0
(b),(b) > (b),(b),Tiền sử dụng đất,1.224.244.063,41.812.387.525,-,(9.365.697.195),-,33.670.934.393,,1224244063.0,41812387525.0,,-9365697195.0,,33670934393.0
(b),(b) > (b),(b),Thuế nhà thầu,23.899.549.860,69.278.225.591,-,(84.665.702.896),-,8.512.072.555,,23899549860.0,69278225591.0,,-84665702896.0,,8512072555.0
(b),(b) > (b),(b),Thuế thu nhập cá nhân,5.976.933.674,70.751.467.139,-,(70.815.506.906),-,5.912.893.907,,5976933674.0,70751467139.0,,-70815506906.0,,5912893907.0
(b),(b) > (b),(b),Thuế khác,422.029.769,47.978.595.145,-,(5.487.534.383),-,42.913.090.531,,422029769.0,47978595145.0,,-5487534383.0,,42913090531.0
(b),(b) > (b),(b),,836.356.436.163,1.521.352.269.020,(527.755.069.864),(738.683.429.865),(3.951.860.552),1.087.318.344.902,,836356436163.0,1521352269020.0,-527755069864.0,-738683429865.0,-3951860552.0,1087318344902.0
