row_label_raw,row_label_full,col_0,31.12.2023 > Giá trị VND,31.12.2023 > Dự phòng VND,31.12.2022 > Giá trị VND,31.12.2022 > Dự phòng VND,numeric__31.12.2023 > Giá trị VND,numeric__31.12.2023 > Dự phòng VND,numeric__31.12.2022 > Giá trị VND,numeric__31.12.2022 > Dự phòng VND
Hợp tác đầu tư phát triển dự án (*),Hợp tác đầu tư phát triển dự án (*),Hợp tác đầu tư phát triển dự án (*),29.046.303.980.759,-,39.613.376.000.000,-,29046303980759.0,,39613376000000.0,
Đặt cọc nhận chuyển nhượng bất động sản,Đặt cọc nhận chuyển nhượng bất động sản,Đặt cọc nhận chuyển nhượng bất động sản,3.270.265.264.000,-,3.270.265.264.000,-,3270265264000.0,,3270265264000.0,
Phải thu lãi hợp tác đầu tư,Phải thu lãi hợp tác đầu tư,Phải thu lãi hợp tác đầu tư,1.010.255.520.558,-,638.843.220.549,-,1010255520558.0,,638843220549.0,
Phải thu do hoán đổi Bất động sản,Phải thu do hoán đổi Bất động sản,Phải thu do hoán đổi Bất động sản,545.269.234.937,-,-,-,545269234937.0,,,
"Đặt cọc, ký quỹ dự án cho Sở Kế hoạch Đầu tư","Đặt cọc, ký quỹ dự án cho Sở Kế hoạch Đầu tư","Đặt cọc, ký quỹ dự án cho Sở Kế hoạch Đầu tư",199.301.850.093,-,198.550.852.242,-,199301850093.0,,198550852242.0,
"Đặt cọc, ký quỹ khác","Đặt cọc, ký quỹ khác","Đặt cọc, ký quỹ khác",51.015.029.508,(105.429.508),168.815.029.508,(105.429.508),51015029508.0,-105429508.0,168815029508.0,-105429508.0
Đặt cọc cho hợp đồng dịch vụ tư vấn đầu tư,Đặt cọc cho hợp đồng dịch vụ tư vấn đầu tư,Đặt cọc cho hợp đồng dịch vụ tư vấn đầu tư,81.448.400.000,-,-,-,81448400000.0,,,
Đặt cọc nhận chuyển nhượng quyền sử dụng đất,Đặt cọc nhận chuyển nhượng quyền sử dụng đất,Đặt cọc nhận chuyển nhượng quyền sử dụng đất,76.000.000.000,-,76.000.000.000,-,76000000000.0,,76000000000.0,
Phải thu khác,Phải thu khác,Phải thu khác,18.042.009.929,-,18.214.981.331,-,18042009929.0,,18214981331.0,
,,,34.297.901.289.784,(105.429.508),43.984.065.347.630,(105.429.508),34297901289784.0,-105429508.0,43984065347630.0,-105429508.0
