row_label_raw,row_label_full,col_0,31.12.2023VND,31.12.2022VND,numeric__31.12.2023VND,numeric__31.12.2022VND
Phát hành trái phiếu ngắn hạn,Phát hành trái phiếu ngắn hạn,Phát hành trái phiếu ngắn hạn,Phát hành trái phiếu ngắn hạn,Phát hành trái phiếu ngắn hạn,,
Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,,
Trái phiếu có đại lý phát hành/tổ chức tư vấn là:,Trái phiếu có đại lý phát hành/tổ chức tư vấn là:,Trái phiếu có đại lý phát hành/tổ chức tư vấn là:,Trái phiếu có đại lý phát hành/tổ chức tư vấn là:,Trái phiếu có đại lý phát hành/tổ chức tư vấn là:,,
Công ty Cổ phần Chứng khoán VPS (i),Trái phiếu có đại lý phát hành/tổ chức tư vấn là: > Công ty Cổ phần Chứng khoán VPS (i),Công ty Cổ phần Chứng khoán VPS (i),7.000.000.000.000,7.000.000.000.000,7000000000000.0,7000000000000.0
Công ty Cổ phần Chứng khoán SSI (xxviii),Trái phiếu có đại lý phát hành/tổ chức tư vấn là: > Công ty Cổ phần Chứng khoán SSI (xxviii),Công ty Cổ phần Chứng khoán SSI (xxviii),2.274.000.000.000,-,2274000000000.0,
Công ty Cổ phần Chứng Khoán Tân Việt (ii),Trái phiếu có đại lý phát hành/tổ chức tư vấn là: > Công ty Cổ phần Chứng Khoán Tân Việt (ii),Công ty Cổ phần Chứng Khoán Tân Việt (ii),2.021.134.200.000,2.194.814.200.000,2021134200000.0,2194814200000.0
Công ty Cổ phần Chứng khoán SSI (xxviii),Trái phiếu có đại lý phát hành/tổ chức tư vấn là: > Công ty Cổ phần Chứng khoán SSI (xxviii),Công ty Cổ phần Chứng khoán SSI (xxviii),1.154.000.000.000,-,1154000000000.0,
Công ty Cổ phần Chứng khoán Ngân hàngCông thương Việt Nam (iv),Trái phiếu có đại lý phát hành/tổ chức tư vấn là: > Công ty Cổ phần Chứng khoán Ngân hàngCông thương Việt Nam (iv),Công ty Cổ phần Chứng khoán Ngân hàngCông thương Việt Nam (iv),975.080.186.059,1.000.000.000.000,975080186059.0,1000000000000.0
Công ty Cổ phần Chứng khoán BIDV (v),Trái phiếu có đại lý phát hành/tổ chức tư vấn là: > Công ty Cổ phần Chứng khoán BIDV (v),Công ty Cổ phần Chứng khoán BIDV (v),901.566.355.219,1.000.000.000.000,901566355219.0,1000000000000.0
Công ty Cổ phần Chứng khoán Dầu khí (vi),Trái phiếu có đại lý phát hành/tổ chức tư vấn là: > Công ty Cổ phần Chứng khoán Dầu khí (vi),Công ty Cổ phần Chứng khoán Dầu khí (vi),774.657.418.449,1.000.000.000.000,774657418449.0,1000000000000.0
Công ty Cổ phần Chứng khoán Dầu khí (vii),Trái phiếu có đại lý phát hành/tổ chức tư vấn là: > Công ty Cổ phần Chứng khoán Dầu khí (vii),Công ty Cổ phần Chứng khoán Dầu khí (vii),732.142.600.832,1.000.000.000.000,732142600832.0,1000000000000.0
Công ty Cổ phần Chứng khoán MB (viii),Trái phiếu có đại lý phát hành/tổ chức tư vấn là: > Công ty Cổ phần Chứng khoán MB (viii),Công ty Cổ phần Chứng khoán MB (viii),610.000.000.000,245.000.000.000,610000000000.0,245000000000.0
Công ty Cổ phần Chứng khoán MB (iii),Trái phiếu có đại lý phát hành/tổ chức tư vấn là: > Công ty Cổ phần Chứng khoán MB (iii),Công ty Cổ phần Chứng khoán MB (iii),600.000.000.000,600.000.000.000,600000000000.0,600000000000.0
