row_label_raw,row_label_full,Mã số,TÀI SẢN (tiếp theo),Thuyết minh,Tại ngày 31 tháng 12 năm > 2023 VND,Tại ngày 31 tháng 12 năm > 2022 VND,numeric__TÀI SẢN (tiếp theo),numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2023 VND,numeric__Tại ngày 31 tháng 12 năm > 2022 VND
200,200,200,TÀI SẢN DÀI HẠN,,50.331.560.521.272,59.620.201.167.981,,,50331560521272.0,59620201167981.0
210,210,210,Các khoản phải thu dài hạn,,34.560.075.860.276,44.081.959.918.122,,,34560075860276.0,44081959918122.0
211,211,211,Phải thu dài hạn của khách hàng,,86.080.000.000,-,,,86080000000.0,
215,215,215,Phải thu về cho vay dài hạn,8(b),176.200.000.000,98.000.000.000,,,176200000000.0,98000000000.0
216,216,216,Phải thu dài hạn khác,9(b),34.297.901.289.784,43.984.065.347.630,,,34297901289784.0,43984065347630.0
219,219,219,Dự phòng phải thu dài hạn khó đòi,10(b),(105.429.508),(105.429.508),,,-105429508.0,-105429508.0
220,220,220,Tài sản cố định,,2.401.389.820.394,3.936.964.957.063,,,2401389820394.0,3936964957063.0
221,221,221,Tài sản cố định hữu hình,13,2.331.565.433.184,3.853.811.931.218,,13.0,2331565433184.0,3853811931218.0
222,222,222,Nguyên giá,,2.684.512.946.723,4.161.585.870.808,,,2684512946723.0,4161585870808.0
223,223,223,Giá trị khấu hao lũy kế,,(352.947.513.539),(307.773.939.590),,,-352947513539.0,-307773939590.0
227,227,227,Tài sản cố định vô hình,14,69.824.387.210,83.153.025.845,,14.0,69824387210.0,83153025845.0
228,228,228,Nguyên giá,,170.305.186.522,166.361.764.022,,,170305186522.0,166361764022.0
229,229,229,Giá trị khấu hao lũy kế,,(100.480.799.312),(83.208.738.177),,,-100480799312.0,-83208738177.0
230,230,230,Bất động sản đầu tư,15,5.543.248.882.224,3.140.889.237.220,,15.0,5543248882224.0,3140889237220.0
231,231,231,Nguyên giá,,6.114.620.064.517,3.539.298.440.844,,,6114620064517.0,3539298440844.0
232,232,232,Giá trị khấu hao lũy kế,,(571.371.182.293),(398.409.203.624),,,-571371182293.0,-398409203624.0
240,240,240,Tài sản dở dang dài hạn,,528.661.491.035,572.958.830.480,,,528661491035.0,572958830480.0
241,241,241,"Chi phí sản xuất, kinh doanh dở dang dài hạn",11(b),181.998.060.395,181.998.060.395,,,181998060395.0,181998060395.0
242,242,242,Chi phí xây dựng cơ bản dở dang,16,346.663.430.640,390.960.770.085,,16.0,346663430640.0,390960770085.0
250,250,250,Đầu tư tài chính dài hạn,,1.728.050.951.949,1.615.915.212.089,,,1728050951949.0,1615915212089.0
252,252,252,"Đầu tư vào công ty liên doanh, liên kết",5(b),1.423.136.037.351,1.582.075.462.089,,,1423136037351.0,1582075462089.0
253,253,253,Đầu tư góp vốn vào đơn vị khác,5(c),304.914.914.598,33.839.750.000,,,304914914598.0,33839750000.0
260,260,260,Tài sản dài hạn khác,,5.570.133.515.394,6.271.513.013.007,,,5570133515394.0,6271513013007.0
261,261,261,Chi phí trả trước dài hạn,12(b),1.689.485.786.703,1.575.118.212.493,,,1689485786703.0,1575118212493.0
262,262,262,Tài sản thuê thu nhập hoãn lại,38(a),183.870.469.256,152.077.405.395,,,183870469256.0,152077405395.0
269,269,269,Lợi thế thương mại,17,3.696.777.259.435,4.544.317.395.119,,17.0,3696777259435.0,4544317395119.0
270,270,270,TỔNG TÀI SẢN,,241.486.379.543.125,257.734.876.168.021,,,241486379543125.0,257734876168021.0
