row_label_raw,row_label_full,Tên,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần NovaGroup,Công ty Cổ phần NovaGroup,Công ty Cổ phần NovaGroup,Cổ đông lớn,
Công ty Cổ phần Diamond Properties,Công ty Cổ phần Diamond Properties,Công ty Cổ phần Diamond Properties,Cổ đông lớn,
Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,Công ty liên kết,
Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty liên kết,
Công ty TNHH Sài Gòn Gôn,Công ty TNHH Sài Gòn Gôn,Công ty TNHH Sài Gòn Gôn,Công ty liên kết,
Công ty Cổ phần Thương mại đầu tư Phú Trí,Công ty Cổ phần Thương mại đầu tư Phú Trí,Công ty Cổ phần Thương mại đầu tư Phú Trí,Công ty liên kết,
Công ty Cổ phần Hùng Ngự Security,Công ty Cổ phần Hùng Ngự Security,Công ty Cổ phần Hùng Ngự Security,Công ty liên kết,
Công ty Cổ phần Đầu tư Phát triển NSQ,Công ty Cổ phần Đầu tư Phát triển NSQ,Công ty Cổ phần Đầu tư Phát triển NSQ,Bên liên quan của Chủ tịch HĐQT,
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Bên liên quan của Chủ tịch HĐQT,
Bùi Cao Nhật Quân,Bùi Cao Nhật Quân,Bùi Cao Nhật Quân,Bên liên quan của Chủ tịch HĐQT,
