row_label_raw,row_label_full,col_0,col_1,Tại ngày 1.1.2023VND,Nhận tiền vayVND,Trả tiền vay/phân bổ chí phíphát hành tráiphiếu/giảm do báncông ty conVND,Chênh lệch tỷ giáVND,Vay dài hạnđến hạn trảVND,Tại ngày 31.12.2023VND,Số có khả năngtrà nợVND,numeric__col_1,numeric__Tại ngày 1.1.2023VND,numeric__Nhận tiền vayVND,numeric__Trả tiền vay/phân bổ chí phíphát hành tráiphiếu/giảm do báncông ty conVND,numeric__Chênh lệch tỷ giáVND,numeric__Vay dài hạnđến hạn trảVND,numeric__Tại ngày 31.12.2023VND,numeric__Số có khả năngtrà nợVND
(a),(a),(a),Ngắn hạn,,,,,,,,,,,,,,,
(a),(a) > (a),(a),- Phát hành trái phiếu (*),20.640.137.600.000,-,(3.319.831.804.707),-,2.327.767.933.030,19.648.073.728.323,19.648.073.728.323,,20640137600000.0,,-3319831804707.0,,2327767933030.0,19648073728323.0,19648073728323.0
(a),(a) > (a),(a),- Vay bên thủ ba (**),5.229.568.871.018,2.090.402.707.103,(2.605.406.345.822),127.436.600.000,3.396.732.364.170,8.238.734.196.469,8.238.734.196.469,,5229568871018.0,2090402707103.0,-2605406345822.0,127436600000.0,3396732364170.0,8238734196469.0,8238734196469.0
(a),(a) > (a),(a),- Vay ngân hàng (***),3.388.381.489.218,-,(1.996.914.889.250),90.860.774.889,1.646.520.459.094,3.128.847.833.951,3.128.847.833.951,,3388381489218.0,,-1996914889250.0,90860774889.0,1646520459094.0,3128847833951.0,3128847833951.0
(a),(a) > (a),(a),- Vay bên liên quan(Thuyết minh 42(b)),57.386.546.869,253.724.700,-,-,-,57.640.271.569,57.640.271.569,,57386546869.0,253724700.0,,,,57640271569.0,57640271569.0
(a),(a) > (a),(a),- Chỉ phí phát hành trái phiếu,(113.090.850.804),-,99.821.083.206,-,(122.556.753.325),(135.826.520.923),(135.826.520.923),,-113090850804.0,,99821083206.0,,-122556753325.0,-135826520923.0,-135826520923.0
(a),(a) > (a),(a),,29.202.383.656.301,2.090.656.431.803,(7.822.331.956.573),218.297.374.889,7.248.464.002.969,30.937.469.509.389,30.937.469.509.389,,29202383656301.0,2090656431803.0,-7822331956573.0,218297374889.0,7248464002969.0,30937469509389.0,30937469509389.0
(b),(b),(b),Dài hạn,,,,,,,,,,,,,,,
(b),(b) > (b),(b),- Phát hành trải phiếu (*),23.529.978.000.000,-,(2.429.954.707.851),206.034.000.000,(2.327.767.933.030),18.978.289.359.119,18.978.289.359.119,,23529978000000.0,,-2429954707851.0,206034000000.0,-2327767933030.0,18978289359119.0,18978289359119.0
(b),(b) > (b),(b),- Vay ngân hàng (***),7.631.487.285.346,2.785.730.029.429,(2.514.346.820.150),21.488.571.606,(1.646.520.459.094),6.277.838.607.137,6.277.838.607.137,,7631487285346.0,2785730029429.0,-2514346820150.0,21488571606.0,-1646520459094.0,6277838607137.0,6277838607137.0
(b),(b) > (b),(b),- Vay bên thủ ba (**),5.086.317.364.170,-,-,68.655.000.000,(3.396.732.364.170),1.758.240.000.000,1.758.240.000.000,,5086317364170.0,,,68655000000.0,-3396732364170.0,1758240000000.0,1758240000000.0
(b),(b) > (b),(b),- Chỉ phí phát hành trải phiếu,(581.269.719.527),-,219.281.365.783,-,122.556.753.325,(239.431.600.419),(239.431.600.419),,-581269719527.0,,219281365783.0,,122556753325.0,-239431600419.0,-239431600419.0
(b),(b) > (b),(b),,35.666.512.929.989,2.785.730.029.429,(4.725.020.162.218),296.177.571.606,(7.248.464.002.969),26.774.936.365.837,26.774.936.365.837,,35666512929989.0,2785730029429.0,-4725020162218.0,296177571606.0,-7248464002969.0,26774936365837.0,26774936365837.0
