row_label_raw,row_label_full,Họ và tên,Chức danh,2023,2023_1,numeric__Chức danh,numeric__2023,numeric__2023_1
Họ và tên,Họ và tên,Họ và tên,Chức danh,Tiền lương VND,Thù lao VND,,,
Bùi Thành Nhơn,Họ và tên > Bùi Thành Nhơn,Bùi Thành Nhơn,Chủ tịch HĐQT,-,1.100.000.000,,,1100000000.0
Bùi Xuân Huy,Họ và tên > Bùi Xuân Huy,Bùi Xuân Huy,Chủ tịch HĐQT,-,100.000.000,,,100000000.0
Bùi Xuân Huy,Họ và tên > Bùi Xuân Huy,Bùi Xuân Huy,Thành viên HĐQT,-,20.000.000,,,20000000.0
Hoàng Thu Châu,Họ và tên > Hoàng Thu Châu,Hoàng Thu Châu,Thành viên HĐQT,-,30.000.000,,,30000000.0
Phạm Tiến Vân,Họ và tên > Phạm Tiến Vân,Phạm Tiến Vân,Thành viên độc lập HĐQT,-,600.000.000,,,600000000.0
Nguyễn Mỹ Hạnh,Họ và tên > Nguyễn Mỹ Hạnh,Nguyễn Mỹ Hạnh,Thành viên độc lập HĐQT,-,600.000.000,,,600000000.0
Hoàng Đức Hùng,Họ và tên > Hoàng Đức Hùng,Hoàng Đức Hùng,Thành viên độc lập HĐQT,-,211.363.636,,,211363636.0
Đỗ Thị Phương Lan,Họ và tên > Đỗ Thị Phương Lan,Đỗ Thị Phương Lan,Thành viên,-,15.755.693,,,15755693.0
Nguyễn Trần Đăng Phước,Họ và tên > Nguyễn Trần Đăng Phước,Nguyễn Trần Đăng Phước,Thành viên,-,15.755.693,,,15755693.0
Ng Teck Yow,Họ và tên > Ng Teck Yow,Ng Teck Yow,Thành viên,-,60.434.783,,,60434783.0
Ng Teck Yow,Họ và tên > Ng Teck Yow,Ng Teck Yow,Tổng Giám đốc,3.287.238.095,-,,3287238095.0,
Nguyễn Ngọc Huyên,Họ và tên > Nguyễn Ngọc Huyên,Nguyễn Ngọc Huyên,Tổng Giám đốc,591.360.000,-,,591360000.0,
Dương Thị Thu Thủy,Họ và tên > Dương Thị Thu Thủy,Dương Thị Thu Thủy,Phó Tổng giám đốc,146.298.435,-,,146298435.0,
Võ Thị Cao Ly,Họ và tên > Võ Thị Cao Ly,Võ Thị Cao Ly,Phó Tổng giám đốc,228.556.800,-,,228556800.0,
Huỳnh Minh Lâm,Họ và tên > Huỳnh Minh Lâm,Huỳnh Minh Lâm,Kế toán trường,1.050.711.965,-,,1050711965.0,
Nguyễn Đức Dũng,Họ và tên > Nguyễn Đức Dũng,Nguyễn Đức Dũng,Giám Đốc Tài chính,799.085.714,-,,799085714.0,
Dương Văn Bắc,Họ và tên > Dương Văn Bắc,Dương Văn Bắc,Giám Đốc Tài chính,1.638.260.870,-,,1638260870.0,
Họ và tên,Họ và tên > Họ và tên,Họ và tên,Chức danh,2022,2022,,2022.0,2022.0
Họ và tên,Họ và tên,Họ và tên,Chức danh,Tiền lương VND,Thù lao VND,,,
Bùi Thành Nhơn,Họ và tên > Bùi Thành Nhơn,Bùi Thành Nhơn,Chủ tịch HĐQT,-,61.290.323,,,61290323.0
Bùi Xuân Huy,Họ và tên > Bùi Xuân Huy,Bùi Xuân Huy,Chủ tịch HĐQT,-,1.144.838.710,,,1144838710.0
Nguyễn Ngọc Huyên,Họ và tên > Nguyễn Ngọc Huyên,Nguyễn Ngọc Huyên,Thành viên,-,30.000.000,,,30000000.0
Hoàng Thu Châu,Họ và tên > Hoàng Thu Châu,Hoàng Thu Châu,Thành viên,-,120.000.000,,,120000000.0
Nguyễn Đức Dũng,Họ và tên > Nguyễn Đức Dũng,Nguyễn Đức Dũng,Thành viên,-,30.000.000,,,30000000.0
Phạm Tiến Vân,Họ và tên > Phạm Tiến Vân,Phạm Tiến Vân,Thành viên độc lập HĐQT,-,600.000.000,,,600000000.0
Lê Quốc Hùng,Họ và tên > Lê Quốc Hùng,Lê Quốc Hùng,Thành viên độc lập HĐQT,-,300.000.000,,,300000000.0
Nguyễn Mỹ Hạnh,Họ và tên > Nguyễn Mỹ Hạnh,Nguyễn Mỹ Hạnh,Thành viên độc lập HĐQT,-,600.000.000,,,600000000.0
Nguyễn Ngọc Huyên,Họ và tên > Nguyễn Ngọc Huyên,Nguyễn Ngọc Huyên,Tổng giám đốc,4.081.980.826,-,,4081980826.0,
Bùi Xuân Huy,Họ và tên > Bùi Xuân Huy,Bùi Xuân Huy,Tổng Giám đốc,409.090.909,-,,409090909.0,
Hoàng Thu Châu,Họ và tên > Hoàng Thu Châu,Hoàng Thu Châu,Phó Tổng giám đốc,272.727.273,-,,272727273.0,
Dương Thị Thu Thủy,Họ và tên > Dương Thị Thu Thủy,Dương Thị Thu Thủy,Phó Tổng giám đốc,2.065.259.901,-,,2065259901.0,
Võ Thị Cao Ly,Họ và tên > Võ Thị Cao Ly,Võ Thị Cao Ly,Phó Tổng giám đốc,2.896.718.481,-,,2896718481.0,
Huỳnh Minh Lâm,Họ và tên > Huỳnh Minh Lâm,Huỳnh Minh Lâm,Kế toán trường,996.717.273,-,,996717273.0,
Nguyễn Đức Dũng,Họ và tên > Nguyễn Đức Dũng,Nguyễn Đức Dũng,Giám Đốc Tài chính,2.363.272.727,-,,2363272727.0,
