row_label_raw,row_label_full,Hạng mục > Tổng chênh lệch lợi nhuận sau thuế TNDN 2022 - 2023,Giá trị (đồng) > (1.695.665.685.698),% tăng/ (giảm),Giải thích,numeric__Giá trị (đồng) > (1.695.665.685.698),numeric__% tăng/ (giảm),numeric__Giải thích
Trong đó:,Trong đó:,Trong đó:,,,,,,
1. Chênh lệch giảm lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Trong đó: > 1. Chênh lệch giảm lợi nhuận gộp về bán hàng và cung cấp dịch vụ,1. Chênh lệch giảm lợi nhuận gộp về bán hàng và cung cấp dịch vụ,(2.929.281.305.075),-69%,(i),-2929281305075.0,-0.69,
2. Chênh lệch giảm chi phí tài chính,Trong đó: > 2. Chênh lệch giảm chi phí tài chính,2. Chênh lệch giảm chi phí tài chính,904.513.971.025,-22%,(ii),904513971025.0,-0.22,
3. Chênh lệch khác,Trong đó: > 3. Chênh lệch khác,3. Chênh lệch khác,329.101.648.352,,,329101648352.0,,
