row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,3.545.828.608.217,218.066.210.078,318.296.120.976,77.157.661.408,2.237.270.129,4.161.585.870.808,3545828608217.0,218066210078.0,318296120976.0,77157661408.0,2237270129.0,4161585870808.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,5.241.192.000,21.130.541.856,3.847.184.697,-,30.218.918.553,,5241192000.0,21130541856.0,3847184697.0,,30218918553.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,-,13.116.907.753,-,-,13.116.907.753,,,13116907753.0,,,13116907753.0
Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 16),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 16),Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 16),4.996.405.960,-,15.205.200.000,-,-,20.201.605.960,4996405960.0,,15205200000.0,,,20201605960.0
Chuyển sang bất động sản đầu tư(Thuyết minh 15) (*),Nguyên giá > Chuyển sang bất động sản đầu tư(Thuyết minh 15) (*),Chuyển sang bất động sản đầu tư(Thuyết minh 15) (*),(1.334.781.574.700),(172.766.601.800),-,-,-,(1.507.548.176.500),-1334781574700.0,-172766601800.0,,,,-1507548176500.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(32.180.864.602),(624.172.392),(257.142.857),(33.062.179.851),,,-32180864602.0,-624172392.0,-257142857.0,-33062179851.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,-,6.026.976.000,(6.026.976.000),-,-,,,6026976000.0,-6026976000.0,,
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,2.216.043.439.477,50.540.800.278,341.594.881.983,74.353.697.713,1.980.127.272,2.684.512.946.723,2216043439477.0,50540800278.0,341594881983.0,74353697713.0,1980127272.0,2684512946723.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2023,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,(124.612.557.746),(23.424.558.546),(106.106.904.131),(53.060.564.295),(569.354.872),(307.773.939.590),-124612557746.0,-23424558546.0,-106106904131.0,-53060564295.0,-569354872.0,-307773939590.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(100.363.786.476),(11.822.268.811),(29.255.984.659),(7.431.245.093),(361.348.484),(149.234.633.523),-100363786476.0,-11822268811.0,-29255984659.0,-7431245093.0,-361348484.0,-149234633523.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,15.823.886.220,286.290.726,42.857.143,16.153.034.089,,,15823886220.0,286290726.0,42857143.0,16153034089.0
Chuyển sang bất động sản đầu tư(Thuyết minh 15) (*),Khấu hao lũy kế > Chuyển sang bất động sản đầu tư(Thuyết minh 15) (*),Chuyển sang bất động sản đầu tư(Thuyết minh 15) (*),77.964.042.956,9.943.982.529,-,-,-,87.908.025.485,77964042956.0,9943982529.0,,,,87908025485.0
Phân loại lại,Khấu hao lũy kế > Phân loại lại,Phân loại lại,-,-,(317.344.966),317.344.966,-,-,,,-317344966.0,317344966.0,,
Tại ngày 31 tháng 12 năm 2023,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,(147.012.301.266),(25.302.844.828),(119.856.347.536),(59.888.173.696),(887.846.213),(352.947.513.539),-147012301266.0,-25302844828.0,-119856347536.0,-59888173696.0,-887846213.0,-352947513539.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,3.421.216.050.471,194.641.651.532,212.189.216.845,24.097.097.113,1.667.915.257,3.853.811.931.218,3421216050471.0,194641651532.0,212189216845.0,24097097113.0,1667915257.0,3853811931218.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,2.069.031.138.211,25.237.955.450,221.738.534.447,14.465.524.017,1.092.281.059,2.331.565.433.184,2069031138211.0,25237955450.0,221738534447.0,14465524017.0,1092281059.0,2331565433184.0
