row_label_raw,row_label_full,Thuế TNDN hiện hànhĐiều chỉnh thuế TNDN trích thiếu các năm trước,Năm nay > 375.489.545.18915.751.299.668,VNDNăm trước > 268.644.464.9093.023.725.990,numeric__Năm nay > 375.489.545.18915.751.299.668,numeric__VNDNăm trước > 268.644.464.9093.023.725.990
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,391.240.844.857,271.668.190.899,391240844857.0,271668190899.0
Chi phí (thu nhập) thuế TNDN hoãn lại(TM số 35.3),Chi phí (thu nhập) thuế TNDN hoãn lại(TM số 35.3),Chi phí (thu nhập) thuế TNDN hoãn lại(TM số 35.3),46.162.332.156,(104.062.946.451),46162332156.0,-104062946451.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,437.403.177.013,167.605.244.448,437403177013.0,167605244448.0
