row_label_raw,row_label_full,Các bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,
Paragon,Phải thu ngắn hạn của khách hàng > Paragon,Paragon,Dịch vụ tư vấn quản lý,66.973.000.000,66.973.000.000,,66973000000.0,66973000000.0
NNH Mizuki,Phải thu ngắn hạn của khách hàng > NNH Mizuki,NNH Mizuki,Dịch vụ tư vấn quản lý,55.740.925.659,147.770.651.722,,55740925659.0,147770651722.0
Công ty TNHH Anabuki NL Housing Service Việt Nam,Phải thu ngắn hạn của khách hàng > Công ty TNHH Anabuki NL Housing Service Việt Nam,Công ty TNHH Anabuki NL Housing Service Việt Nam,Dịch vụ tư vấn quản lý,2.478.065.884,2.482.686.907,,2478065884.0,2482686907.0
Công ty Cổ phần Đầu tư Thái Bình,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đầu tư Thái Bình,Công ty Cổ phần Đầu tư Thái Bình,Chuyển nhượng vốn,-,278.900.000.000,,,278900000000.0
,,,,125.191.991.543,496.126.338.629,,125191991543.0,496126338629.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,
Công ty TNHH Anabuki NL Housing Service Việt Nam,Trả trước cho người bán ngắn hạn > Công ty TNHH Anabuki NL Housing Service Việt Nam,Công ty TNHH Anabuki NL Housing Service Việt Nam,Tạm ứng dịch vụ tư vấn,381.440.000,8.305.986.397,,381440000.0,8305986397.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,
NNH Mizuki,Phải thu ngắn hạn khác > NNH Mizuki,NNH Mizuki,Phải thu từ HĐHTKD Thu nhập cổ tức,55.445.462.994,55.445.462.994,,55445462994.0,55445462994.0
NNH Mizuki,Phải thu ngắn hạn khác > NNH Mizuki,NNH Mizuki,Phải thu từ HĐHTKD Thu nhập cổ tức,4.527.312.825,3.485.296.803,,4527312825.0,3485296803.0
Paragon,Phải thu ngắn hạn khác > Paragon,Paragon,Tạm ứng vốn góp Lãi cho vay,-,170.000.000.000,,,170000000000.0
Paragon,Phải thu ngắn hạn khác > Paragon,Paragon,Tạm ứng vốn góp Lãi cho vay,-,75.945.205,,,75945205.0
,,,,59.972.775.819,229.006.705.002,,59972775819.0,229006705002.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,
Tân Hiệp,Phải thu dài hạn khác > Tân Hiệp,Tân Hiệp,Đặt cọc,567.000.000,-,,567000000.0,
Anabuki NL,Phải thu dài hạn khác > Anabuki NL,Anabuki NL,Đặt cọc,110.000.000,-,,110000000.0,
,,,,677.000.000,-,,677000000.0,
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,
Công ty TNHH Anabuki NL Housing Service Việt Nam,Phải trả người bán ngắn hạn > Công ty TNHH Anabuki NL Housing Service Việt Nam,Công ty TNHH Anabuki NL Housing Service Việt Nam,Phí dịch vụ tư vấn quản lý,22.492.001.049,13.095.281.927,,22492001049.0,13095281927.0
Người mua trả tiên trước ngắn hạn,Người mua trả tiên trước ngắn hạn,Người mua trả tiên trước ngắn hạn,Người mua trả tiên trước ngắn hạn,Người mua trả tiên trước ngắn hạn,Người mua trả tiên trước ngắn hạn,,,
Tân Hiệp,Người mua trả tiên trước ngắn hạn > Tân Hiệp,Tân Hiệp,Mua đất nền,2.118.000.000,-,,2118000000.0,
NNH Mizuki,Người mua trả tiên trước ngắn hạn > NNH Mizuki,NNH Mizuki,Dịch vụ tư vấn xây dựng,147.818.673,1.523.519.750,,147818673.0,1523519750.0
,,,,2.265.818.673,1.523.519.750,,2265818673.0,1523519750.0
