row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Bảo cáo kết quả hoạt động kinh doanh hợp nhất,Bảo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Bảo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Bảo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số dấu năm,Năm nay,Năm trước,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Lợi nhuận nội bộ chưa thực hiện loại trừ trên hợp nhất,Tài sản thuế TNDN hoãn lại > Lợi nhuận nội bộ chưa thực hiện loại trừ trên hợp nhất,Lợi nhuận nội bộ chưa thực hiện loại trừ trên hợp nhất,274.858.709.545,208.488.487.002,66.370.222.543,28.532.835.409,274858709545.0,208488487002.0,66370222543.0,28532835409.0
Chi phí phải trả,Tài sản thuế TNDN hoãn lại > Chi phí phải trả,Chi phí phải trả,69.810.157.655,74.373.199.498,(4.563.041.843),(27.846.843.280),69810157655.0,74373199498.0,-4563041843.0,-27846843280.0
Thuế TNDN tạm nộp trên các khoản nhận tiền trước từ khách hàng (l),Tài sản thuế TNDN hoãn lại > Thuế TNDN tạm nộp trên các khoản nhận tiền trước từ khách hàng (l),Thuế TNDN tạm nộp trên các khoản nhận tiền trước từ khách hàng (l),38.770.930.695,,,,38770930695.0,,,
,,,,65.466.130.086,(26.695.199.391),16.088.104.098,,65466130086.0,-26695199391.0,16088104098.0
Lỗ thuế mang sang các kỳ sau,Tài sản thuế TNDN hoãn lại > Lỗ thuế mang sang các kỳ sau,Lỗ thuế mang sang các kỳ sau,-,92.926.527.946,(92.926.527.946),92.926.527.946,,92926527946.0,-92926527946.0,92926527946.0
Khác,Tài sản thuế TNDN hoãn lại > Khác,Khác,17.804.571.707,6.862.504.988,10.942.066.719,1.922.376.136,17804571707.0,6862504988.0,10942066719.0,1922376136.0
,,,401.244.369.602,448.116.849.520,,,401244369602.0,448116849520.0,,
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,
Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,Thuế TNDN hoãn lại phải trả > Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,(909.064.994.836),(939.193.495.324),(29.418.352.727),26.891.459.777,-909064994836.0,-939193495324.0,-29418352727.0,26891459777.0
Chi phí lãi vay đã được khấu trừ khi tinh thuế nhưng được vốn hóa vào dự án trên báo cáo tài chính hợp nhất,Thuế TNDN hoãn lại phải trả > Chi phí lãi vay đã được khấu trừ khi tinh thuế nhưng được vốn hóa vào dự án trên báo cáo tài chính hợp nhất,Chi phí lãi vay đã được khấu trừ khi tinh thuế nhưng được vốn hóa vào dự án trên báo cáo tài chính hợp nhất,(139.479.898.197),(110.061.545.470),30.128.500.489,(34.451.513.635),-139479898197.0,-110061545470.0,30128500489.0,-34451513635.0
Chi phí đã được khấu trừ khi tinh thuế nhưng được vốn hóa vào giá trị dàu tư trên báo cáo tài chính hợp nhất,Thuế TNDN hoãn lại phải trả > Chi phí đã được khấu trừ khi tinh thuế nhưng được vốn hóa vào giá trị dàu tư trên báo cáo tài chính hợp nhất,Chi phí đã được khấu trừ khi tinh thuế nhưng được vốn hóa vào giá trị dàu tư trên báo cáo tài chính hợp nhất,(4.920.000.000),(4.920.000.000),,-,-4920000000.0,-4920000000.0,,
,,,(1.053.464.893.033),(1.054.175.040.794),,,-1053464893033.0,-1054175040794.0,,
(Chi phí) thu nhập thuế TNDN hoãn lại,Thuế TNDN hoãn lại phải trả > (Chi phí) thu nhập thuế TNDN hoãn lại,(Chi phí) thu nhập thuế TNDN hoãn lại,,,(46.162.332.156),104.062.946.451,,,-46162332156.0,104062946451.0
