row_label_raw,row_label_full,col_0,Quyên sử dụng đất,Phần mềm vi tính,Tổng cộng,numeric__Quyên sử dụng đất,numeric__Phần mềm vi tính,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,13.564.231.213,114.286.012.634,127.850.243.847,13564231213.0,114286012634.0,127850243847.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,2.133.000.000,9.170.125.000,11.303.125.000,2133000000.0,9170125000.0,11303125000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,15.697.231.213,123.456.137.634,139.153.368.847,15697231213.0,123456137634.0,139153368847.0
Trong đó:Dã hao mòn hết,Nguyên giá: > Trong đó:Dã hao mòn hết,Trong đó:Dã hao mòn hết,-,21.765.051.200,21.765.051.200,,21765051200.0,21765051200.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(2.572.973.925),(42.917.803.377),(45.490.777.302),-2572973925.0,-42917803377.0,-45490777302.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(82.252.020),(22.781.499.234),(22.863.751.254),-82252020.0,-22781499234.0,-22863751254.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(2.655.225.945),(65.699.302.611),(68.354.528.556),-2655225945.0,-65699302611.0,-68354528556.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,10.991.257.288,71.368.209.257,82.359.466.545,10991257288.0,71368209257.0,82359466545.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,13.042.005.268,57.756.835.023,70.798.840.291,13042005268.0,57756835023.0,70798840291.0
Trong đó:Theế chấp để đảm bảo cho các khoản vay(TM số 24),Giá trị còn lại: > Trong đó:Theế chấp để đảm bảo cho các khoản vay(TM số 24),Trong đó:Theế chấp để đảm bảo cho các khoản vay(TM số 24),2.506.932.943,-,2.506.932.943,2506932943.0,,2506932943.0
