row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyếtminh,Năm nay,Năm trước,numeric__CHÍ TIÊU,numeric__Thuyếtminh,numeric__Năm nay,numeric__Năm trước
,,,I. LU'U CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHTống lợi nhuận kế toán trước thuếĐiều chính cho các khoản:Khẩu hao và hao mòn,"13, 14,15, 18",1.824.791.701.766,968.082.678.798,,,1824791701766.0,968082678798.0
01,01,01,I. LU'U CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHTống lợi nhuận kế toán trước thuếĐiều chính cho các khoản:Khẩu hao và hao mòn,"13, 14,15, 18",1.824.791.701.766,968.082.678.798,,,1824791701766.0,968082678798.0
02,02,02,I. LU'U CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHTống lợi nhuận kế toán trước thuếĐiều chính cho các khoản:Khẩu hao và hao mòn,"13, 14,15, 18",1.824.791.701.766,968.082.678.798,,,1824791701766.0,968082678798.0
03,03,03,Dự phòngLãi từ hoạt động đầu tưChi phí lãi vay và chi phí phát hành trải phiếu,"13, 14,15, 18",50.090.309.86234.574.165.017(436.200.402.308),48.740.422.00030.274.788.159(655.381.509.365),,,,
05,05,05,Dự phòngLãi từ hoạt động đầu tưChi phí lãi vay và chi phí phát hành trải phiếu,"13, 14,15, 18",50.090.309.86234.574.165.017(436.200.402.308),48.740.422.00030.274.788.159(655.381.509.365),,,,
06,06,06,Dự phòngLãi từ hoạt động đầu tưChi phí lãi vay và chi phí phát hành trải phiếu,"13, 14,15, 18",50.090.309.86234.574.165.017(436.200.402.308),48.740.422.00030.274.788.159(655.381.509.365),,,,
08,06 > 08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm (tăng) các khoản phải thuTăng hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệpđã nộpTiền chi khác cho hoạt độngkinh doanh,21,331.295.750.6421.804.551.524.979743.601.250.612(479.536.018.648)(79.911.217.359)39.383.075.983(512.514.963.178)(239.512.725.875)(50.985.280.949),296.192.334.382687.908.713.974(56.859.078.843)(2.427.513.153.656)220.371.661.741141.945.176.010(533.766.008.772)(348.224.329.850)(26.927.162.356),,21.0,,
09,06 > 09,09,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm (tăng) các khoản phải thuTăng hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệpđã nộpTiền chi khác cho hoạt độngkinh doanh,21,331.295.750.6421.804.551.524.979743.601.250.612(479.536.018.648)(79.911.217.359)39.383.075.983(512.514.963.178)(239.512.725.875)(50.985.280.949),296.192.334.382687.908.713.974(56.859.078.843)(2.427.513.153.656)220.371.661.741141.945.176.010(533.766.008.772)(348.224.329.850)(26.927.162.356),,21.0,,
10,06 > 10,10,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm (tăng) các khoản phải thuTăng hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệpđã nộpTiền chi khác cho hoạt độngkinh doanh,21,331.295.750.6421.804.551.524.979743.601.250.612(479.536.018.648)(79.911.217.359)39.383.075.983(512.514.963.178)(239.512.725.875)(50.985.280.949),296.192.334.382687.908.713.974(56.859.078.843)(2.427.513.153.656)220.371.661.741141.945.176.010(533.766.008.772)(348.224.329.850)(26.927.162.356),,21.0,,
11,06 > 11,11,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm (tăng) các khoản phải thuTăng hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệpđã nộpTiền chi khác cho hoạt độngkinh doanh,21,331.295.750.6421.804.551.524.979743.601.250.612(479.536.018.648)(79.911.217.359)39.383.075.983(512.514.963.178)(239.512.725.875)(50.985.280.949),296.192.334.382687.908.713.974(56.859.078.843)(2.427.513.153.656)220.371.661.741141.945.176.010(533.766.008.772)(348.224.329.850)(26.927.162.356),,21.0,,
