row_label_raw,row_label_full,Ngân hàng,Số cuối năm(VND),Ngày đáo hạn,Lãi suất(%/năm),Hình thức đảm bảo,numeric__Số cuối năm(VND),numeric__Ngày đáo hạn,numeric__Lãi suất(%/năm),numeric__Hình thức đảm bảo
Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,,,,
Vay 1,Ngân hàng TMCP Phương Đông > Vay 1,Vay 1,399.993.575.639,Từ ngày 21 tháng 5 năm 2025đến ngày 17 tháng 9 năm 2025,"7 – 7,5","Thừa 2479, Tờ bản đồ số 5; Thừa 779, Tờ bản đồ số 6 vàThừa 226, Tờ bản đồ số 5, Phường An Thạnh, Huyện BếnLức, Tĩnh Long An thuộc sở hữu của Nam Long VCD(TM số 11)",399993575639.0,,,
Vay 2,Ngân hàng TMCP Phương Đông > Vay 2,Vay 2,300.000.000.000,Từ ngày 17 tháng 5 năm 2025đến ngày 30 tháng 9 năm 2025,"6,8 - 7,3","Thừa 7689 và Thừa 582, Tờ Bán đồ Số 5, Phường AnThạnh, Huyện Bến Lức, Tĩnh Long An và tài sản hình thànhtrong tương lai từ dự án Khu đồ thị mới Vảm Cổ ĐôngSouthgate (TM số 11)",300000000000.0,,,
Vay 3,Ngân hàng TMCP Phương Đông > Vay 3,Vay 3,88.775.840.213,Từ ngày 27 tháng 3 năm 2025đến ngày 5 tháng 9 năm 2025,"7,8 - 8,8","Quyền sử dụng đất và các tài sản gắn liền với đất tọa lạctail Số 147-149, Đường Trần Trong Cung, PhườngTân Thuận Đông, Quận 7, TP.HCM (TM số 13 và 14)",88775840213.0,,,
Ngân hàng TMCP Quốctế Việt Nam,Ngân hàng TMCP Phương Đông > Ngân hàng TMCP Quốctế Việt Nam,Ngân hàng TMCP Quốctế Việt Nam,99.690.994.719,Ngày 12 tháng 9 năm 2025,7,Tin chấp,99690994719.0,,7.0,
Ngân hàng TNHH MTVStandard Chartered (ViệtNam),Ngân hàng TMCP Phương Đông > Ngân hàng TNHH MTVStandard Chartered (ViệtNam),Ngân hàng TNHH MTVStandard Chartered (ViệtNam),89.520.663.367,Từ ngày 11 tháng 4 năm 2025đến ngày 19 tháng 8 năm 2025,"6,34 – 7,80","Thừa 6262, Tờ bản đồ số 6, PhườngAn Thạnh, Huyện Bến Lức, Tĩnh Long An (TM số 11)",89520663367.0,,,
Ngân hàng TMCP NgoạiThương Việt Nam - Chinhánh TP.HCM,Ngân hàng TMCP Phương Đông > Ngân hàng TMCP NgoạiThương Việt Nam - Chinhánh TP.HCM,Ngân hàng TMCP NgoạiThương Việt Nam - Chinhánh TP.HCM,86.721.254.466,Từ ngày 28 tháng 3 năm 2025đến ngày 24 tháng 6 năm 2025,"6,5",Tin chấp,86721254466.0,,6.5,
Ngân hàng TNHH MTVUnited Overseas Bank,Ngân hàng TMCP Phương Đông > Ngân hàng TNHH MTVUnited Overseas Bank,Ngân hàng TNHH MTVUnited Overseas Bank,43.954.446.022,Từ ngày 23 tháng 1 năm 2025đến ngày 19 tháng 5 năm 2025,"7,05 - 7,40","Các khoản phải thu còn lại của Hợp đồng Thi công phầnthân và phần hoàn thiện Block A5, B2dự án MR1 Southgate",43954446022.0,,,
TỔNG CỘNG,Ngân hàng TMCP Phương Đông > TỔNG CỘNG,TỔNG CỘNG,1.108.656.774.446,,,,1108656774446.0,,,
