row_label_raw,row_label_full,Tổ chức thu xếp/ bảo lãnh phát hành,Trải chủ,Số tiền(VND),Lãi suất(%/năm),Ngày đáo hạn,Mục đích,Hình thức đảm bảo,numeric__Trải chủ,numeric__Số tiền(VND),numeric__Lãi suất(%/năm),numeric__Ngày đáo hạn,numeric__Mục đích,numeric__Hình thức đảm bảo
Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,126.000.000.000,,,,,,126000000000.0,,,,
Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,Công ty TNHH bảo hiểm nhân thọ Sun Life Việt Nam,126.000.000.000,,,,,,126000000000.0,,,,
Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,Công ty TNHH Bảo hiểm Nhân thọ Generali Việt Nam,100.000.000.000,,,,,,100000000000.0,,,,
Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,Tổng Công ty Cổ phần Bảo hiểm Bưu Điện,100.000.000.000,"9,5",Ngày 17 tháng 6 năm 2029,Tái trợ và đầu tư cho các dự án,30.560.749 cổ phiếu Southgate do Nhóm Công ty sở hữu,,100000000000.0,9.5,,,
Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng Khoản KIS Việt Nam,70.000.000.000,,,,,,70000000000.0,,,,
Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,Công ty TNHH Bảo hiểm Nhân thọ AIA Việt Nam,16.000.000.000,,,,,,16000000000.0,,,,
Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,Công ty TNHH Bảo hiểm Nhân thọ FWD Việt Nam,12.000.000.000,,,,,,12000000000.0,,,,
Trừ:Chỉ phí phát hành,Trừ:Chỉ phí phát hành,Trừ:Chỉ phí phát hành,Trừ:Chỉ phí phát hành,(47.908.949.963),,,,,,-47908949963.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.612.091.050.037,,,,,,3612091050037.0,,,,
Trong đó:Trải phiếu dài hạn,Trong đó:Trải phiếu dài hạn,Trong đó:Trải phiếu dài hạn,Trong đó:Trải phiếu dài hạn,2.956.515.416.664,,,,,,2956515416664.0,,,,
Trải phiếu dài hạn đến hạn trả,Trải phiếu dài hạn đến hạn trả,Trải phiếu dài hạn đến hạn trả,Trải phiếu dài hạn đến hạn trả,655.575.633.373,,,,,,655575633373.0,,,,
