row_label_raw,row_label_full,Số cuối năm,Giá trị theo hop đồng > Số cuối năm,Giá trị đã ghi nhận > Số cuối năm,VNDGiá trị cam kết còn lại > Số cuối năm,numeric__Giá trị theo hop đồng > Số cuối năm,numeric__Giá trị đã ghi nhận > Số cuối năm,numeric__VNDGiá trị cam kết còn lại > Số cuối năm
Dự án Akari (*),Dự án Akari (*),Dự án Akari (*),2.762.289.288.495,1.572.120.786.989,1.190.168.501.506,2762289288495.0,1572120786989.0,1190168501506.0
Dự án Cần Thơ,Dự án Cần Thơ,Dự án Cần Thơ,1.907.804.214.584,663.555.591.332,1.244.248.623.252,1907804214584.0,663555591332.0,1244248623252.0
Dự án Vàm Cổ Đông,Dự án Vàm Cổ Đông,Dự án Vàm Cổ Đông,472.966.976.889,289.530.853.127,183.436.123.762,472966976889.0,289530853127.0,183436123762.0
Dự án Izumi,Dự án Izumi,Dự án Izumi,320.502.518.137,131.969.096.518,188.533.421.619,320502518137.0,131969096518.0,188533421619.0
Dự án Mizuki,Dự án Mizuki,Dự án Mizuki,188.445.652.134,4.424.402.384,182.021.249.750,188445652134.0,4424402384.0,182021249750.0
Dự án Southgate,Dự án Southgate,Dự án Southgate,119.369.625.742,25.605.255.581,93.764.370.161,119369625742.0,25605255581.0,93764370161.0
Khác,Khác,Khác,152.606.993.146,14.961.047.277,137.645.945.869,152606993146.0,14961047277.0,137645945869.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.921.985.269.127,2.702.167.033.208,3.219.818.235.919,5921985269127.0,2702167033208.0,3219818235919.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Dự án Akari,Số đầu năm > Dự án Akari,Dự án Akari,5.239.362.976.081,3.067.127.770.524,2.172.235.205.557,5239362976081.0,3067127770524.0,2172235205557.0
Dự án Cần Thơ,Số đầu năm > Dự án Cần Thơ,Dự án Cần Thơ,1.390.735.641.350,336.311.341.260,1.054.424.300.090,1390735641350.0,336311341260.0,1054424300090.0
Dự án Izumi,Số đầu năm > Dự án Izumi,Dự án Izumi,847.685.842.901,79.312.992.938,768.372.849.963,847685842901.0,79312992938.0,768372849963.0
Dự án Mizuki,Số đầu năm > Dự án Mizuki,Dự án Mizuki,229.109.661.121,126.770.891.927,102.338.769.194,229109661121.0,126770891927.0,102338769194.0
Dự án Southgate,Số đầu năm > Dự án Southgate,Dự án Southgate,193.163.294.625,129.471.926.611,63.691.368.014,193163294625.0,129471926611.0,63691368014.0
Dự án Vàm Cổ Đông,Số đầu năm > Dự án Vàm Cổ Đông,Dự án Vàm Cổ Đông,53.465.908.681,7.292.319.480,46.173.589.201,53465908681.0,7292319480.0,46173589201.0
Khác,Số đầu năm > Khác,Khác,252.181.135.703,38.094.343.089,214.086.792.614,252181135703.0,38094343089.0,214086792614.0
TỔNG CỘNG,Số đầu năm > TỔNG CỘNG,TỔNG CỘNG,8.205.704.460.462,3.784.381.585.829,4.421.322.874.633,8205704460462.0,3784381585829.0,4421322874633.0
