row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvá thiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,Tài sản khác,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvá thiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,83.409.289.260,31.260.497.710,26.472.406.465,10.847.122.958,4.334.447.197,156.323.763.590,83409289260.0,31260497710.0,26472406465.0,10847122958.0,4334447197.0,156323763590.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,10.415.181.654,723.836.364,7.342.817.350,1.224.370.000,142.477.778,19.848.683.146,10415181654.0,723836364.0,7342817350.0,1224370000.0,142477778.0,19848683146.0
Chuyển từ chi phí xây dựngcơ bản dở dang,Nguyên giá: > Chuyển từ chi phí xây dựngcơ bản dở dang,Chuyển từ chi phí xây dựngcơ bản dở dang,3.152.480.458,-,-,-,-,3.152.480.458,3152480458.0,,,,,3152480458.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,(181.818.182),(3.019.781.818),-,(404.696.000),-,(3.606.296.000),-181818182.0,-3019781818.0,,-404696000.0,,-3606296000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,96.795.133.190,28.964.552.256,33.815.223.815,11.666.796.958,4.476.924.975,175.718.631.194,96795133190.0,28964552256.0,33815223815.0,11666796958.0,4476924975.0,175718631194.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,10.918.207.331,6.153.157.840,3.243.621.612,10.847.122.958,-,31.162.109.741,10918207331.0,6153157840.0,3243621612.0,10847122958.0,,31162109741.0
Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giả trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(44.425.325.059),(18.698.384.618),(21.645.154.986),(10.847.122.958),(2.558.889.963),(98.174.877.584),-44425325059.0,-18698384618.0,-21645154986.0,-10847122958.0,-2558889963.0,-98174877584.0
Khấu hao trong năm,Giả trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.361.979.774),(1.295.663.232),(4.494.007.683),(1.176.324.139),(514.675.346),(8.842.650.174),-1361979774.0,-1295663232.0,-4494007683.0,-1176324139.0,-514675346.0,-8842650174.0
Phân loại lại,Giả trị khấu hao lũy kế: > Phân loại lại,Phân loại lại,38.843.749,3.019.781.818,-,356.650.139,-,3.415.275.706,38843749.0,3019781818.0,,356650139.0,,3415275706.0
Số cuối năm,Giả trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(45.748.461.084),(16.974.266.032),(26.139.162.669),(11.666.796.958),(3.073.565.309),(103.602.252.052),-45748461084.0,-16974266032.0,-26139162669.0,-11666796958.0,-3073565309.0,-103602252052.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,38.983.964.201,12.562.113.092,4.827.251.479,-,1.775.557.234,58.148.886.006,38983964201.0,12562113092.0,4827251479.0,,1775557234.0,58148886006.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,51.046.672.106,11.990.286.224,7.676.061.146,-,1.403.359.666,72.116.379.142,51046672106.0,11990286224.0,7676061146.0,,1403359666.0,72116379142.0
Trong đó:The cháp để đảm bảo cho các khoản vay (TM số 24.1),Giá trị còn lại: > Trong đó:The cháp để đảm bảo cho các khoản vay (TM số 24.1),Trong đó:The cháp để đảm bảo cho các khoản vay (TM số 24.1),6.291.106.004,-,-,-,-,6.291.106.004,6291106004.0,,,,,6291106004.0
