row_label_raw,row_label_full,col_0,Anabuki,NNH Mizuki,Paragon,VND Tổng công,numeric__Anabuki,numeric__NNH Mizuki,numeric__Paragon,numeric__VND Tổng công
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,4.588.500.000,540.000.000.000,1.251.778.695.316,1.796.367.195.316,4588500000.0,540000000000.0,1251778695316.0,1796367195316.0
Tăng trong năm (*),Giá trị đầu tư: > Tăng trong năm (*),Tăng trong năm (*),-,-,225.000.000.000,225.000.000.000,,,225000000000.0,225000000000.0
Giảm trong năm,Giá trị đầu tư: > Giảm trong năm,Giảm trong năm,-,-,(492.259.565.105),(492.259.565.105),,,-492259565105.0,-492259565105.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,4.588.500.000,540.000.000.000,984.519.130.211,1.529.107.630.211,4588500000.0,540000000000.0,984519130211.0,1529107630211.0
Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,,,,
Số đầu năm,Phần lũy kế lợi nhuận sau khi mua: > Số đầu năm,Số đầu năm,9.215.838.196,412.449.233.215,(627.802.350),421.037.269.061,9215838196.0,412449233215.0,-627802350.0,421037269061.0
"Phần lãi (lỗ) từ công ty liên doanh, liên kết","Phần lũy kế lợi nhuận sau khi mua: > Phần lãi (lỗ) từ công ty liên doanh, liên kết","Phần lãi (lỗ) từ công ty liên doanh, liên kết",2.617.887.019,97.401.862.572,(302.365.879),99.717.383.712,2617887019.0,97401862572.0,-302365879.0,99717383712.0
Cổ tức cổ phiếu ưu đãi,Phần lũy kế lợi nhuận sau khi mua: > Cổ tức cổ phiếu ưu đãi,Cổ tức cổ phiếu ưu đãi,-,(257.884.000.000),-,(257.884.000.000),,-257884000000.0,,-257884000000.0
Số cuối năm,Phần lũy kế lợi nhuận sau khi mua: > Số cuối năm,Số cuối năm,11.833.725.215,251.967.095.787,(930.168.229),262.870.652.773,11833725215.0,251967095787.0,-930168229.0,262870652773.0
Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,,,,
Số đầu năm,Giá trị ghi sổ: > Số đầu năm,Số đầu năm,13.804.338.196,952.449.233.215,1.251.150.892.966,2.217.404.464.377,13804338196.0,952449233215.0,1251150892966.0,2217404464377.0
Số cuối năm,Giá trị ghi sổ: > Số cuối năm,Số cuối năm,16.422.225.215,791.967.095.787,983.588.961.982,1.791.978.282.984,16422225215.0,791967095787.0,983588961982.0,1791978282984.0
