row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,"Nhà cửa,vật kiến trúc",VNDTổng cộng,numeric__Quyềnsử dụng đất,"numeric__Nhà cửa,vật kiến trúc",numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,25.019.644.770,338.171.270.295,363.190.915.065,25019644770.0,338171270295.0,363190915065.0
Chuyển từ chi phí xây dựngcor bản dở dang,Nguyên giá: > Chuyển từ chi phí xây dựngcor bản dở dang,Chuyển từ chi phí xây dựngcor bản dở dang,-,32.861.376.423,32.861.376.423,,32861376423.0,32861376423.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,(7.914.210.168),(7.914.210.168),,-7914210168.0,-7914210168.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,25.019.644.770,363.118.436.550,388.138.081.320,25019644770.0,363118436550.0,388138081320.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,45.501.693.673,45.501.693.673,,45501693673.0,45501693673.0
Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,,,
Số đầu năm,Giá trị khấu hao và hao mòn lũy kế: > Số đầu năm,Số đầu năm,(9.944.123.198),(48.358.339.894),(58.302.463.092),-9944123198.0,-48358339894.0,-58302463092.0
Khấu hao trong năm,Giá trị khấu hao và hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(39.453.452),(15.171.725.443),(15.211.178.895),-39453452.0,-15171725443.0,-15211178895.0
Thanh lý,Giá trị khấu hao và hao mòn lũy kế: > Thanh lý,Thanh lý,-,1.284.236.059,1.284.236.059,,1284236059.0,1284236059.0
Số cuối năm,Giá trị khấu hao và hao mòn lũy kế: > Số cuối năm,Số cuối năm,(9.983.576.650),(62.245.829.278),(72.229.405.928),-9983576650.0,-62245829278.0,-72229405928.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,15.075.521.572,289.812.930.401,304.888.451.973,15075521572.0,289812930401.0,304888451973.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,15.036.068.120,300.872.607.272,315.908.675.392,15036068120.0,300872607272.0,315908675392.0
