row_label_raw,row_label_full,Các bên liên quan,Nội dung nghiệp vụ,Năm nay,VNDNăm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
NNH Mizuki,NNH Mizuki,NNH Mizuki,Thu nhập cổ tứcDoanh thu từ dịch vụquản lý dự án (*)Thu hồi vốn đầu tư,256.084.000.000105.618.374.094-,28.985.296.803428.366.135.632210.000.000.000,,,2.8985296803428365e+34
Paragon,Paragon,Paragon,Chi tiền góp vốnDoanh thu từ dịch vụquản lý dự án (*),55.000.000.000128.242.901,80.000.000.00028.087.000.000,,5.5000000000128246e+19,8.000000000028087e+21
Công ty TNHHĐầu tư Tân Hiệp,Công ty TNHHĐầu tư Tân Hiệp,Công ty TNHHĐầu tư Tân Hiệp,Mua cổ phần,-,190.000.000.000,,,190000000000.0
Công ty TNHHAnabuki NLHousing ServiceViệt Nam,Công ty TNHHAnabuki NLHousing ServiceViệt Nam,Công ty TNHHAnabuki NLHousing ServiceViệt Nam,Phí dịch vụ quản lýDoanh thu từ dịch vụquản lý dự án (*),1.340.878.89962.408.834,57.516.668.3602.299.158.808,,1.3408788996240883e+17,5.751666836022992e+20
(*) Doanh thu với bên liên quan (TM số 30),(*) Doanh thu với bên liên quan (TM số 30),(*) Doanh thu với bên liên quan (TM số 30),(*) Doanh thu với bên liên quan (TM số 30),105.809.025.829,458.752.294.440,,105809025829.0,458752294440.0
