row_label_raw,row_label_full,Dư án Izumi (*) (**),8.684.523.739.008,8.550.982.574.380,numeric__8.684.523.739.008,numeric__8.550.982.574.380
Dư án Waterpoint Giai đoạn 1 (*) (**),Dư án Waterpoint Giai đoạn 1 (*) (**),Dư án Waterpoint Giai đoạn 1 (*) (**),3.832.648.063.945,3.560.213.515.392,3832648063945.0,3560213515392.0
Dư án Waterpoint Giai đoạn 2 (*),Dư án Waterpoint Giai đoạn 2 (*),Dư án Waterpoint Giai đoạn 2 (*),2.594.992.396.132,1.608.445.491.347,2594992396132.0,1608445491347.0
Dư án Cần Thơ (**),Dư án Cần Thơ (**),Dư án Cần Thơ (**),1.805.855.757.397,1.280.709.815.278,1805855757397.0,1280709815278.0
Dư án Hoàng Nam (Akari) (**),Dư án Hoàng Nam (Akari) (**),Dư án Hoàng Nam (Akari) (**),303.783.933.103,1.666.979.677.284,303783933103.0,1666979677284.0
Dư án Nguyên Sơn,Dư án Nguyên Sơn,Dư án Nguyên Sơn,226.621.280.597,163.448.912.845,226621280597.0,163448912845.0
Dư án Phú Hữu,Dư án Phú Hữu,Dư án Phú Hữu,220.706.290.256,204.268.255.150,220706290256.0,204268255150.0
Dư án Phước Long B - Mở rộng,Dư án Phước Long B - Mở rộng,Dư án Phước Long B - Mở rộng,123.893.014.891,107.235.300.599,123893014891.0,107235300599.0
Dư án Tân Thuận Đông (Dư án Ehome 5),Dư án Tân Thuận Đông (Dư án Ehome 5),Dư án Tân Thuận Đông (Dư án Ehome 5),72.512.433.817,69.643.243.550,72512433817.0,69643243550.0
Dư án VSIP Hải Phòng,Dư án VSIP Hải Phòng,Dư án VSIP Hải Phòng,69.525.064.419,68.032.274.419,69525064419.0,68032274419.0
Dư án Areco (Flora Novia) (**),Dư án Areco (Flora Novia) (**),Dư án Areco (Flora Novia) (**),35.877.736.658,24.495.082.567,35877736658.0,24495082567.0
Dư án Long An 36ha (*),Dư án Long An 36ha (*),Dư án Long An 36ha (*),19.123.289.168,24.473.165.941,19123289168.0,24473165941.0
Dư án Bình Dương (Dư án Ehome 4),Dư án Bình Dương (Dư án Ehome 4),Dư án Bình Dương (Dư án Ehome 4),12.960.800.537,12.960.800.537,12960800537.0,12960800537.0
Dư án Phú Đức,Dư án Phú Đức,Dư án Phú Đức,2.584.069.675,2.584.069.675,2584069675.0,2584069675.0
Khác,Khác,Khác,26.372.130.695,24.937.372.471,26372130695.0,24937372471.0
