row_label_raw,row_label_full,col_0,Vốn cổ phần,Thắng dưvốn cổ phần,Quỹ đầu tưphát triển,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thắng dưvốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.847.774.710.000,2.643.023.306.759,10.709.490.423,2.216.611.139,2.879.491.549.444,9.383.215.667.765,3847774710000.0,2643023306759.0,10709490423.0,2216611139.0,2879491549444.0,9383215667765.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,517.894.708.641,517.894.708.641,,,,,517894708641.0,517894708641.0
Cổ tức bằng tiền công bố (i),Năm nay > Cổ tức bằng tiền công bố (i),Cổ tức bằng tiền công bố (i),-,-,-,-,(192.003.958.029),(192.003.958.029),,,,,-192003958029.0,-192003958029.0
"Trích quỹ khen thưởng, phúc lợi(ii)","Năm nay > Trích quỹ khen thưởng, phúc lợi(ii)","Trích quỹ khen thưởng, phúc lợi(ii)",-,-,-,-,(33.943.200.000),(33.943.200.000),,,,,-33943200000.0,-33943200000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.847.774.710.000,2.643.023.306.759,10.709.490.423,2.216.611.139,3.171.439.100.056,9.675.163.218.377,3847774710000.0,2643023306759.0,10709490423.0,2216611139.0,3171439100056.0,9675163218377.0
