row_label_raw,row_label_full,Ho và tên,Chức vụ,col_2,Thu nhập,Thu nhập_1,numeric__Chức vụ,numeric__col_2,numeric__Thu nhập,numeric__Thu nhập_1
Ho và tên,Ho và tên,Ho và tên,Chức vụ,,Năm nay,Năm trước,,,,
Ông Lucas Ignatius Loh Jen Yuh,Ho và tên > Ông Lucas Ignatius Loh Jen Yuh,Ông Lucas Ignatius Loh Jen Yuh,Tổng Giám đốc Tập đoàn kiểm nhiệm Giám đốc điều hành Nam Long Land,Bổ nhiệm ngày30 tháng 3 năm 2024,11.897.793.821,,,,11897793821.0,
Ông Chan Hong Wai,Ho và tên > Ông Chan Hong Wai,Ông Chan Hong Wai,Giám đốc Tài chính,Bổ nhiệm ngày16 tháng 9 năm 2024,1.318.084.987,-,,,1318084987.0,
Bà Nguyễn Thanh Hương,Ho và tên > Bà Nguyễn Thanh Hương,Bà Nguyễn Thanh Hương,Giám đốc Đầu tư Tập đoàn,Bổ nhiệm ngày2 tháng 5 năm 2024,4.380.009.091,-,,,4380009091.0,
Ông Trần Xuân Ngọc,Ho và tên > Ông Trần Xuân Ngọc,Ông Trần Xuân Ngọc,"Tổng Giám đốc Tập đoàn kiểm Tổng Giám đốc Nam Long Land và Giám đốc Điều hành Đơn vị Kinh Doanh Bất động sản (""ĐVKD"") Thương mại và Đầu tư mạo hiểm",Miễn nhiệm ngày30 tháng 3 năm 2024,4.784.346.314,12.882.625.000,,,4784346314.0,12882625000.0
Ông Nguyễn Huy Đức,Ho và tên > Ông Nguyễn Huy Đức,Ông Nguyễn Huy Đức,Giám đốc Tài chính,Miễn nhiệm ngày16 tháng 9 năm 2024,5.559.628.178,6.033.857.143,,,5559628178.0,6033857143.0
Ông Phạm Đình Huy,Ho và tên > Ông Phạm Đình Huy,Ông Phạm Đình Huy,Giám đốc Đầu tư Tập đoàn,Miễn nhiệm ngày2 tháng 5 năm 2024,2.084.069.292,5.014.921.666,,,2084069292.0,5014921666.0
Ông Văn Việt Sơn,Ho và tên > Ông Văn Việt Sơn,Ông Văn Việt Sơn,Giám đốc Điều hành Nam Long Land,Miễn nhiệm ngày20 tháng 9 năm 2024,6.313.935.793,4.847.919.552,,,6313935793.0,4847919552.0
Ông Nguyễn Quang ĐứcÔng Chai Cheng Huan,Ho và tên > Ông Nguyễn Quang ĐứcÔng Chai Cheng Huan,Ông Nguyễn Quang ĐứcÔng Chai Cheng Huan,Kế toán Trường Tập đoàn Giám đốc Điều hành Đơn vị Kinh doanh Bất động sản Thương mại & Đầu tư Mạo hiểm,,2.283.036.700,2.270.090.400,,,2283036700.0,2270090400.0
,,,,,-,1.682.608.696,,,,1682608696.0
TỔNG CỘNG,Ho và tên > TỔNG CỘNG,TỔNG CỘNG,,,38.620.904.176,32.732.022.457,,,38620904176.0,32732022457.0
