row_label_raw,row_label_full,Tại ngày 31/12/2024,Tại ngày 31/12/2024_1,Tại ngày 31/12/2024_2,Tại ngày 31/12/2024_3,Tại ngày 31/12/2024_4,numeric__Tại ngày 31/12/2024_1,numeric__Tại ngày 31/12/2024_2,numeric__Tại ngày 31/12/2024_3,numeric__Tại ngày 31/12/2024_4
,,,Chưa quá hạn và chưa phải lập dự phòng Triệu VND,Đã quá hạn nhưng chưa phải lập dự phòng Triệu VND,Đã lập dự phòng Triệu VND,Tổng cộng Triệu VND,,,,
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,11.299.610,-,-,11.299.610,11299610.0,,,11299610.0
Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,73.373.963,-,-,73.373.963,73373963.0,,,73373963.0
Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,8.868.966,-,-,8.868.966,8868966.0,,,8868966.0
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,198.366.186,2.174.517,4.488.666,205.029.369,198366186.0,2174517.0,4488666.0,205029369.0
Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,19.473.840,-,319.364,19.793.204,19473840.0,,319364.0,19793204.0
Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,4.370.576,-,26.949,4.397.525,4370576.0,,26949.0,4397525.0
,,,315.753.141,2.174.517,4.834.979,322.762.637,315753141.0,2174517.0,4834979.0,322762637.0
Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,,,,
,,,Chưa quá hạn và chưa phải lập dự phòng Triệu VND,Đã quá hạn nhưng chưa phải lập dự phòng Triệu VND,Đã lập dự phòng Triệu VND,Tổng cộng Triệu VND,,,,
Tiền gửi tại NHNNVN,Tại ngày 31/12/2023 > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,2.784.593,-,-,2.784.593,2784593.0,,,2784593.0
Tiền gửi và cho vay các TCTD khác - gộp,Tại ngày 31/12/2023 > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,52.998.574,-,-,52.998.574,52998574.0,,,52998574.0
Chứng khoán kinh doanh - gộp,Tại ngày 31/12/2023 > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,8.353.236,-,-,8.353.236,8353236.0,,,8353236.0
Cho vay khách hàng - gộp,Tại ngày 31/12/2023 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,168.733.295,1.789.671,5.554.977,176.077.943,168733295.0,1789671.0,5554977.0,176077943.0
Chứng khoán đầu tư - gộp,Tại ngày 31/12/2023 > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,13.953.491,-,319.364,14.272.855,13953491.0,,319364.0,14272855.0
Tài sản tài chính khác - gộp,Tại ngày 31/12/2023 > Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,10.052.461,-,27.675,10.080.136,10052461.0,,27675.0,10080136.0
,,,256.875.650,1.789.671,5.902.016,264.567.337,256875650.0,1789671.0,5902016.0,264567337.0
