row_label_raw,row_label_full,col_0,Năm 2024Triệu VND,Năm 2023Triệu VND,numeric__Năm 2024Triệu VND,numeric__Năm 2023Triệu VND
Công ty TNHH Một thành viên Quản lý nợ và Khai thác Tài sản SeABank,Công ty TNHH Một thành viên Quản lý nợ và Khai thác Tài sản SeABank,Công ty TNHH Một thành viên Quản lý nợ và Khai thác Tài sản SeABank,Công ty TNHH Một thành viên Quản lý nợ và Khai thác Tài sản SeABank,Công ty TNHH Một thành viên Quản lý nợ và Khai thác Tài sản SeABank,,
Chi phí thuê văn phòng,Công ty TNHH Một thành viên Quản lý nợ và Khai thác Tài sản SeABank > Chi phí thuê văn phòng,Chi phí thuê văn phòng,4.048,5.068,4048.0,5068.0
Chi phí lãi tiền gửi,Công ty TNHH Một thành viên Quản lý nợ và Khai thác Tài sản SeABank > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,21.545,27.309,21545.0,27309.0
Thu nhập từ góp vốn,Công ty TNHH Một thành viên Quản lý nợ và Khai thác Tài sản SeABank > Thu nhập từ góp vốn,Thu nhập từ góp vốn,-,29.649,,29649.0
Thu nhập lãi cho vay,Công ty TNHH Một thành viên Quản lý nợ và Khai thác Tài sản SeABank > Thu nhập lãi cho vay,Thu nhập lãi cho vay,3.747,644,3747.0,644.0
Công ty Tài chính TNHH MTV Bưu điện,Công ty Tài chính TNHH MTV Bưu điện,Công ty Tài chính TNHH MTV Bưu điện,Công ty Tài chính TNHH MTV Bưu điện,Công ty Tài chính TNHH MTV Bưu điện,,
Chi phí lãi tiền gửi,Công ty Tài chính TNHH MTV Bưu điện > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,271,292,271.0,292.0
Thu nhập từ đầu tư chứng chỉ tiền gửi,Công ty Tài chính TNHH MTV Bưu điện > Thu nhập từ đầu tư chứng chỉ tiền gửi,Thu nhập từ đầu tư chứng chỉ tiền gửi,-,104.683,,104683.0
Thu nhập lãi tiền gửi,Công ty Tài chính TNHH MTV Bưu điện > Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,128.527,121.699,128527.0,121699.0
Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,,
Chi phí lãi tiền gửi,Công ty Cổ phần Thăng Long GTC > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,15.768,21.376,15768.0,21376.0
Thu nhập từ phí bảo lãnh,Công ty Cổ phần Thăng Long GTC > Thu nhập từ phí bảo lãnh,Thu nhập từ phí bảo lãnh,-,7,,7.0
Tập đoàn BRG - Công ty cổ phần và các Công ty con,Tập đoàn BRG - Công ty cổ phần và các Công ty con,Tập đoàn BRG - Công ty cổ phần và các Công ty con,Tập đoàn BRG - Công ty cổ phần và các Công ty con,Tập đoàn BRG - Công ty cổ phần và các Công ty con,,
Chi phí lãi tiền gửi,Tập đoàn BRG - Công ty cổ phần và các Công ty con > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,22.134,23.929,22134.0,23929.0
Thu nhập từ phí bảo lãnh,Tập đoàn BRG - Công ty cổ phần và các Công ty con > Thu nhập từ phí bảo lãnh,Thu nhập từ phí bảo lãnh,1,9.110,1.0,9110.0
Công ty Cổ phần Cho thuê Máy bay Việt Nam,Công ty Cổ phần Cho thuê Máy bay Việt Nam,Công ty Cổ phần Cho thuê Máy bay Việt Nam,Công ty Cổ phần Cho thuê Máy bay Việt Nam,Công ty Cổ phần Cho thuê Máy bay Việt Nam,,
Chi phí lãi tiền gửi,Công ty Cổ phần Cho thuê Máy bay Việt Nam > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,19.618,16.629,19618.0,16629.0
Thu nhập lãi tiền vay,Công ty Cổ phần Cho thuê Máy bay Việt Nam > Thu nhập lãi tiền vay,Thu nhập lãi tiền vay,100,-,100.0,
Công ty Cổ phần Đầu tư Phát triển Thành phố Thông mình Bắc Hà Nội,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông mình Bắc Hà Nội,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông mình Bắc Hà Nội,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông mình Bắc Hà Nội,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông mình Bắc Hà Nội,,
Chi phí lãi tiền gửi,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông mình Bắc Hà Nội > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,201.912,153.742,201912.0,153742.0
Thu nhập lãi tiền vay,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông mình Bắc Hà Nội > Thu nhập lãi tiền vay,Thu nhập lãi tiền vay,4.418,-,4418.0,
