row_label_raw,row_label_full,col_0,Tỷ giá ngày > 31/12/2024 VND,Tỷ giá ngày > 31/12/2023 VND,numeric__Tỷ giá ngày > 31/12/2024 VND,numeric__Tỷ giá ngày > 31/12/2023 VND
AUD,AUD,AUD,15.864,16.561,15864.0,16561.0
CAD,CAD,CAD,17.759,18.359,17759.0,18359.0
CHF,CHF,CHF,28.177,28.844,28177.0,28844.0
EUR,EUR,EUR,26.665,26.974,26665.0,26974.0
GBP,GBP,GBP,32.153,31.005,32153.0,31005.0
HKD,HKD,HKD,3.283,3.106,3283.0,3106.0
JPY,JPY,JPY,"163,1","171,6",163.1,171.6
KRW,KRW,KRW,"17,58","19,05",17.58,19.05
SGD,SGD,SGD,18.726,18.410,18726.0,18410.0
THB,THB,THB,745,706,745.0,706.0
CNY,CNY,CNY,2.994,2.994,2994.0,2994.0
USD,USD,USD,25.401,24.260,25401.0,24260.0
XAU,XAU,XAU,8.315.000,7.395.000,8315000.0,7395000.0
