row_label_raw,row_label_full,BÁO CÁO CỦA BAN TỔNG GIÁM ĐỐC,1,numeric__1
BÁO CÁO KIỂM TOÁN ĐỘC LẬP,BÁO CÁO KIỂM TOÁN ĐỘC LẬP,BÁO CÁO KIỂM TOÁN ĐỘC LẬP,2 - 3,
BÁO CÁO TÌNH HÌNH TÀI CHÍNH RIÊNG,BÁO CÁO TÌNH HÌNH TÀI CHÍNH RIÊNG,BÁO CÁO TÌNH HÌNH TÀI CHÍNH RIÊNG,4 - 6,
BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG,BÁO CÁO TÌNH HÌNH TÀI CHÍNH RIÊNG > BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG,7,7.0
BÁO CÁO LƯU CHUYỄN TIỀN TỆ RIÊNG,BÁO CÁO LƯU CHUYỄN TIỀN TỆ RIÊNG,BÁO CÁO LƯU CHUYỄN TIỀN TỆ RIÊNG,8 - 9,
THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG,THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG,THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG,10 - 68,
