row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay của khách hàng và các TCTD,Tổng tiền gửi của khách hàng và các TCTD,Các cam kết tín dụng,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác (thuẩn),Kinh doanh và đầu tư chứng khoán,numeric__Tổng dư nợ cho vay của khách hàng và các TCTD,numeric__Tổng tiền gửi của khách hàng và các TCTD,numeric__Các cam kết tín dụng,numeric__Các công cụ tài chính phải sinh và các khoản nợ tài chính khác (thuẩn),numeric__Kinh doanh và đầu tư chứng khoán
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Trong nước,Trong nước,Trong nước,207.044.979,225.280.536,10.744.833,303.574,28.662.170,207044979.0,225280536.0,10744833.0,303574.0,28662170.0
Nước ngoài,Nước ngoài,Nước ngoài,308.650,64.948,-,-,-,308650.0,64948.0,,,
,,,207.353.629,225.345.484,10.744.833,303.574,28.662.170,207353629.0,225345484.0,10744833.0,303574.0,28662170.0
