row_label_raw,row_label_full,col_0,Năm 2024Triệu VND,Năm 2023Triệu VND,numeric__Năm 2024Triệu VND,numeric__Năm 2023Triệu VND
Thủ lao của thành viên Hội đồng Quản trị,Thủ lao của thành viên Hội đồng Quản trị,Thủ lao của thành viên Hội đồng Quản trị,22.519,22.308,22519.0,22308.0
Chủ tịch HĐQT,Chủ tịch HĐQT,Chủ tịch HĐQT,6.000,6.000,6000.0,6000.0
Phó Chủ tịch thường trực HĐQT,Phó Chủ tịch thường trực HĐQT,Phó Chủ tịch thường trực HĐQT,5.400,5.400,5400.0,5400.0
02 Phó Chủ tịch HĐQT,02 Phó Chủ tịch HĐQT,02 Phó Chủ tịch HĐQT,7.161,7.119,7161.0,7119.0
Ngô Thị Nhải - Thành viên HĐQT,Ngô Thị Nhải - Thành viên HĐQT,Ngô Thị Nhải - Thành viên HĐQT,401,1.297,401.0,1297.0
Mathew Nevil Welch - Thành viên HĐQT,Mathew Nevil Welch - Thành viên HĐQT,Mathew Nevil Welch - Thành viên HĐQT,1.200,1.184,1200.0,1184.0
Fergus Mardonald Clark - Thành viên độc lập HĐQT,Fergus Mardonald Clark - Thành viên độc lập HĐQT,Fergus Mardonald Clark - Thành viên độc lập HĐQT,1.404,948,1404.0,948.0
Hoàng Minh Tân - Thành viên HĐQT,Hoàng Minh Tân - Thành viên HĐQT,Hoàng Minh Tân - Thành viên HĐQT,-,180,,180.0
Bùi Trung Kiên - Thành viên HĐQT,Bùi Trung Kiên - Thành viên HĐQT,Bùi Trung Kiên - Thành viên HĐQT,-,180,,180.0
Trần Thị Thanh Thủy - Thành viên HĐQT,Trần Thị Thanh Thủy - Thành viên HĐQT,Trần Thị Thanh Thủy - Thành viên HĐQT,953,-,953.0,
Thù lao của Ban Kiểm soát,Thù lao của Ban Kiểm soát,Thù lao của Ban Kiểm soát,5.060,3.846,5060.0,3846.0
"Tiền lương, thường và phúc lợi khác của Tổng Giám đốc và người quản lý khác","Tiền lương, thường và phúc lợi khác của Tổng Giám đốc và người quản lý khác","Tiền lương, thường và phúc lợi khác của Tổng Giám đốc và người quản lý khác",30.553,31.497,30553.0,31497.0
