row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,31/12/2024Triệu VND,31/12/2023Triệu VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__31/12/2024Triệu VND,numeric__31/12/2023Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNNVN,,2.064.483,2.538.637,,,2064483.0,2538637.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNNVN",VI.12,2.064.483,2.538.637,,,2064483.0,2538637.0
II,B > II,II,Tiền gửi và vay các TCTD khác,VI.13,85.907.868,68.352.556,,,85907868.0,68352556.0
1,B > 1,1,Tiền gửi của các TCTD khác,,56.499.363,48.701.317,,,56499363.0,48701317.0
2,B > 2,2,Vay các TCTD khác,,29.408.505,19.651.239,,,29408505.0,19651239.0
III,B > III,III,Tiền gửi của khách hàng,VI.14,168.846.121,145.225.061,,,168846121.0,145225061.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,VI.15,303.574,107.131,,,303574.0,107131.0
VI,B > VI,VI,Phát hành giấy tờ có giá,VI.16,30.450.200,16.846.100,,,30450200.0,16846100.0
VII,B > VII,VII,Các khoản nợ khác,VI.17,4.209.202,4.766.757,,,4209202.0,4766757.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.934.618,3.769.648,,,2934618.0,3769648.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,1.274.584,997.109,,,1274584.0,997109.0
,,,TỔNG NỘ PHẢI TRẢ,,291.781.448,237.836.242,,,291781448.0,237836242.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,VI.18,34.956.298,30.338.788,,,34956298.0,30338788.0
1,B > 1,1,Vốn của TCTD,,28.353.167,25.063.167,,,28353167.0,25063167.0
\( a \),B > \( a \),\( a \),- Vốn điều lệ,,28.350.000,24.957.000,,,28350000.0,24957000.0
\( c \),B > \( c \),\( c \),- Thặng dư vốn cổ phần,,3.167,106.167,,,3167.0,106167.0
2,B > 2,2,Quỹ của TCTD,,2.612.881,1.667.379,,,2612881.0,1667379.0
5,B > 5,5,Lợi nhuận chưa phân phối,,3.990.250,3.608.242,,,3990250.0,3608242.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,34.956.298,30.338.788,,,34956298.0,30338788.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,326.737.746,268.175.030,,,326737746.0,268175030.0
