row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay của khách hàng và các TCTD,Tổng tiền gửi của khách hàng và các TCTD,Các cam kết tín dụng,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác (thuẩn),Kinh doanh và đầu tư chứng khoán,numeric__Tổng dư nợ cho vay của khách hàng và các TCTD,numeric__Tổng tiền gửi của khách hàng và các TCTD,numeric__Các cam kết tín dụng,numeric__Các công cụ tài chính phải sinh và các khoản nợ tài chính khác (thuẩn),numeric__Kinh doanh và đầu tư chứng khoán
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Trong nước,Trong nước,Trong nước,178.637.341,193.889.938,11.814.794,107.131,22.626.091,178637341.0,193889938.0,11814794.0,107131.0,22626091.0
Nước ngoài,Nước ngoài,Nước ngoài,331.152,36.440,-,-,-,331152.0,36440.0,,,
,,,178.968.493,193.926.378,11.814.794,107.131,22.626.091,178968493.0,193926378.0,11814794.0,107131.0,22626091.0
