row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,31/12/2024Triệu VND,31/12/2023Triệu VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__31/12/2024Triệu VND,numeric__31/12/2023Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,Tiền mặt và vàng,VI.1,963.692,851.268,,,963692.0,851268.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam (“NHNNVN”),VI.2,11.299.610,2.784.593,,,11299610.0,2784593.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng (“TCTD”) khác,VI.3,73.373.963,52.998.574,,,73373963.0,52998574.0
1,A > 1,1,Tiền gửi tại các TCTD khác,,71.049.703,50.108.024,,,71049703.0,50108024.0
2,A > 2,2,Cho vay các TCTD khác,,2.324.260,2.890.550,,,2324260.0,2890550.0
IV,A > IV,IV,Chứng khoán kinh doanh,VI.4,8.866.716,8.353.236,,,8866716.0,8353236.0
1,A > 1,1,Chứng khoán kinh doanh,,8.868.966,8.353.236,,,8868966.0,8353236.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(2.250),-,,,-2250.0,
VI,A > VI,VI,Cho vay khách hàng,,202.251.998,173.289.042,,,202251998.0,173289042.0
1,A > 1,1,Cho vay khách hàng,VI.5,205.029.369,176.077.943,,,205029369.0,176077943.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,VI.6,(2.777.371),(2.788.901),,,-2777371.0,-2788901.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,,19.473.840,14.204.712,,,19473840.0,14204712.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,VI.7a,17.473.840,13.953.491,,,17473840.0,13953491.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,VI.7b,2.319.364,319.364,,,2319364.0,319364.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,VI.7c,(319.364),(68.143),,,-319364.0,-68143.0
IX,A > IX,IX,"Gớp vốn, đầu tư dài hạn",VI.8,2.818.707,2.318.530,,,2818707.0,2318530.0
1,A > 1,1,Đầu tư vào công ty con,,2.760.000,2.260.000,,,2760000.0,2260000.0
4,A > 4,4,Đầu tư dài hạn khác,,59.070,59.070,,,59070.0,59070.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(363),(540),,,-363.0,-540.0
X,A > X,X,Tài sản cố định (“TSCĐ”),,1.364.327,1.265.655,,,1364327.0,1265655.0
1,A > 1,1,Tài sản cố định hữu hình,VI.9,487.195,549.636,,,487195.0,549636.0
,,,- Nguyên giá TSCĐ,,1.087.471,1.078.032,,,1087471.0,1078032.0
,,,- Hao mòn TSCĐ,,(600.276),(528.396),,,-600276.0,-528396.0
3,A > 3,3,Tài sản cố định vô hình,VI.10,877.132,716.019,,,877132.0,716019.0
,,,- Nguyên giá TSCĐ,,1.157.909,950.649,,,1157909.0,950649.0
,,,- Hao mòn TSCĐ,,(280.777),(234.630),,,-280777.0,-234630.0
XII,A > XII,XII,Tài sản Có khác,VI.11,6.324.893,12.109.420,,,6324893.0,12109420.0
1,A > 1,1,Các khoản phải thu,,1.865.788,6.802.965,,,1865788.0,6802965.0
2,A > 2,2,Các khoản lãi và phí phải thu,,2.531.737,3.277.171,,,2531737.0,3277171.0
4,A > 4,4,Tài sản Có khác,,1.954.317,2.056.959,,,1954317.0,2056959.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(26.949),(27.675),,,-26949.0,-27675.0
,,,TỔNG TÀI SẢN,,326.737.746,268.175.030,,,326737746.0,268175030.0
