row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phương tiện vântải, truyền dẫnTriệu VND",Thiết bịvăn phòngTriệu VND,Tài sâncó định khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phương tiện vântải, truyền dẫnTriệu VND",numeric__Thiết bịvăn phòngTriệu VND,numeric__Tài sâncó định khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,19.075,478.943,422.604,117.513,39.897,1.078.032,19075.0,478943.0,422604.0,117513.0,39897.0,1078032.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,1.175,13.999,13.663,769,29.606,,1175.0,13999.0,13663.0,769.0,29606.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,-,360,-,-,360,,,360.0,,,360.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(398),(1.268),(2.409),(15.112),(1.340),(20.527),-398.0,-1268.0,-2409.0,-15112.0,-1340.0,-20527.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,18.677,478.850,434.554,116.064,39.326,1.087.471,18677.0,478850.0,434554.0,116064.0,39326.0,1087471.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,6.712,193.281,223.408,92.611,12.384,528.396,6712.0,193281.0,223408.0,92611.0,12384.0,528396.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,854,37.185,38.318,11.211,4.479,92.047,854.0,37185.0,38318.0,11211.0,4479.0,92047.0
Tăng khác,Giá trị hao mòn luỹ kế > Tăng khác,Tăng khác,-,-,360,-,-,360,,,360.0,,,360.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(398),(1.268),(2.409),(15.112),(1.340),(20.527),-398.0,-1268.0,-2409.0,-15112.0,-1340.0,-20527.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,7.168,229.198,259.677,88.710,15.523,600.276,7168.0,229198.0,259677.0,88710.0,15523.0,600276.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,12.363,285.662,199.196,24.902,27.513,549.636,12363.0,285662.0,199196.0,24902.0,27513.0,549636.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,11.509,249.652,174.877,27.354,23.803,487.195,11509.0,249652.0,174877.0,27354.0,23803.0,487195.0
