row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu VND > Tại ngày 31 tháng 12 năm 2024,Tổng giá trị ghi số kế toán (theo tỷ giá ngày lập báo cáo) > Tài sảnTriệu VND > Tại ngày 31 tháng 12 năm 2024,Tổng giá trị ghi số kế toán (theo tỷ giá ngày lập báo cáo) > Nợ phải trảTriệu VND > Tại ngày 31 tháng 12 năm 2024,Tổng giá trị ghi số kế toán (theo tỷ giá ngày lập báo cáo) > Giá trị thuầnTriệu VND > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu VND > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá ngày lập báo cáo) > Tài sảnTriệu VND > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá ngày lập báo cáo) > Nợ phải trảTriệu VND > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá ngày lập báo cáo) > Giá trị thuầnTriệu VND > Tại ngày 31 tháng 12 năm 2024
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,13.379.356,7.868,154.598,(146.730),13379356.0,7868.0,154598.0,-146730.0
Giao dịch kỳ hạn lãi suất,Giao dịch kỳ hạn lãi suất,Giao dịch kỳ hạn lãi suất,66.606,9,2.011,(2.002),66606.0,9.0,2011.0,-2002.0
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,86.670.810,469.243,450.891,18.352,86670810.0,469243.0,450891.0,18352.0
Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,3.738.560,-,173.194,(173.194),3738560.0,,173194.0,-173194.0
,,,103.855.332,477.120,780.694,(303.574),103855332.0,477120.0,780694.0,-303574.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,,,
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2023 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,34.926.220,137.173,128.441,8.732,34926220.0,137173.0,128441.0,8732.0
Giao dịch kỳ hạn lãi suất,Tại ngày 31 tháng 12 năm 2023 > Giao dịch kỳ hạn lãi suất,Giao dịch kỳ hạn lãi suất,228.208,228,1.930,(1.702),228208.0,228.0,1930.0,-1702.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2023 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,63.785.077,231.271,347.952,(116.681),63785077.0,231271.0,347952.0,-116681.0
Giao dịch hoán đổi lãi suất,Tại ngày 31 tháng 12 năm 2023 > Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,3.738.560,6.300,3.780,2.520,3738560.0,6300.0,3780.0,2520.0
,,,102.678.065,374.972,482.103,(107.131),102678065.0,374972.0,482103.0,-107131.0
