row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Thặng dưvốn cổ phầnTriệu VND,Quỹ dự phòngtài chínhTriệu VND,Quỹ dự trữ bổsung vốn điều lệTriệu VND,Lợi nhuậnchưa phân phốiTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Thặng dưvốn cổ phầnTriệu VND,numeric__Quỹ dự phòngtài chínhTriệu VND,numeric__Quỹ dự trữ bổsung vốn điều lệTriệu VND,numeric__Lợi nhuậnchưa phân phốiTriệu VND,numeric__Tổng cộngTriệu VND
Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,24.957.000,106.167,1.286.535,380.844,3.608.242,30.338.788,24957000.0,106167.0,1286535.0,380844.0,3608242.0,30338788.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,4.727.510,4.727.510,,,,,4727510.0,4727510.0
Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,3.290.000,-,-,-,(3.290.000),-,3290000.0,,,,-3290000.0,
Tăng vốn từ nguồn thẳng dư vốn cổ phần,Tăng vốn từ nguồn thẳng dư vốn cổ phần,Tăng vốn từ nguồn thẳng dư vốn cổ phần,103.000,(103.000),-,-,-,-,103000.0,-103000.0,,,,
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,472.751,472.751,(945.502),-,,,472751.0,472751.0,-945502.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(110.000),(110.000),,,,,-110000.0,-110000.0
Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,28.350.000,3.167,1.759.286,853.595,3.990.250,34.956.298,28350000.0,3167.0,1759286.0,853595.0,3990250.0,34956298.0
Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,,,,,,
,,,Vốn điều lệTriệu VND,Thặng dưvốn cổ phầnTriệu VND,Quỹ dự phòngtài chínhTriệu VND,Quỹ dự trữ bổsung vốn điều lệTriệu VND,Lợi nhuậnchưa phân phốiTriệu VND,Tổng cộngTriệu VND,,,,,,
Số dư tại ngày 1/1/2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,20.402.983,1.204.184,915.527,195.340,3.522.673,26.240.707,20402983.0,1204184.0,915527.0,195340.0,3522673.0,26240707.0
Lợi nhuận trong năm,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,3.710.081,3.710.081,,,,,3710081.0,3710081.0
Tăng vốn từ phát hành cổ phiếu theo chươngtrình lựa chọn cho người lao động,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Tăng vốn từ phát hành cổ phiếu theo chươngtrình lựa chọn cho người lao động,Tăng vốn từ phát hành cổ phiếu theo chươngtrình lựa chọn cho người lao động,420.000,84.000,-,-,-,504.000,420000.0,84000.0,,,,504000.0
Phát hành cổ phiếu để trả cổ tức,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,2.952.000,-,-,-,(2.952.000),-,2952000.0,,,,-2952000.0,
Tăng vốn từ nguồn thẳng dư vốn cổ phần,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Tăng vốn từ nguồn thẳng dư vốn cổ phần,Tăng vốn từ nguồn thẳng dư vốn cổ phần,1.182.017,(1.182.017),-,-,-,-,1182017.0,-1182017.0,,,,
Trích quỹ trong năm,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Trích quỹ trong năm,Trích quỹ trong năm,-,-,371.008,185.504,(556.512),-,,,371008.0,185504.0,-556512.0,
"Trích quỹ khen thưởng, phúc lợi","Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(116.000),(116.000),,,,,-116000.0,-116000.0
Số dư tại ngày 31/12/2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,24.957.000,106.167,1.286.535,380.844,3.608.242,30.338.788,24957000.0,106167.0,1286535.0,380844.0,3608242.0,30338788.0
