row_label_raw,row_label_full,STT,Loại tài sản bảo đảm,Tỷ lệ khấu trừ,numeric__Loại tài sản bảo đảm,numeric__Tỷ lệ khấu trừ
1.,1.,1.,"Số dư tiền gửi, chứng chỉ tiền gửi của khách hàng bằng Đồng Việt Nam tại Ngân hàng",100%,,1.0
2.,2.,2.,"Trái phiếu Chính phủ, vàng miếng theo quy định của pháp luật về hoạt động kinh doanh vàng; số dư tiền gửi, chứng chỉ tiền gửi của khách hàng bằng ngoại tệ tại Ngân hàng;",95%,,0.95
3.,3.,3.,"Trái phiếu chính quyền địa phương, trái phiếu được Chính phủ bảo lãnh; công cụ chuyển nhượng, trái phiếu do Ngân hàng phát hành; số dư tiền gửi, chứng chỉ tiền gửi do Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài khác phát hành có thời hạn còn lại dưới 1 năm",95%,,0.95
4.,4.,4.,"Trái phiếu chính quyền địa phương, trái phiếu được Chính phủ bảo lãnh; công cụ chuyển nhượng, trái phiếu do Ngân hàng phát hành; số dư tiền gửi, chứng chỉ tiền gửi do Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài khác phát hành có thời hạn còn lại từ 1 năm đến 5 năm",85%,,0.85
5.,5.,5.,"Trái phiếu chính quyền địa phương, trái phiếu được Chính phủ bảo lãnh; công cụ chuyển nhượng, trái phiếu do chính Ngân hàng phát hành; số dư tiền gửi, chứng chỉ tiền gửi do Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài khác phát hành có thời hạn còn lại trên 5 năm",80%,,0.8
