row_label_raw,row_label_full,Lưu chuyển tiền thuần từ hoạt động tài chính,40,col_2,(1.377.979.539.212),(1.706.759.282.803),numeric__40,numeric__col_2,numeric__(1.377.979.539.212),numeric__(1.706.759.282.803)
Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,50,,111.800.635.734,(306.129.641.351),50.0,,111800635734.0,-306129641351.0
Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,V.1,146.498.638.651,452.628.280.002,60.0,,146498638651.0,452628280002.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,-,-,61.0,,,
Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,70,V.1,258.299.274.385,146.498.638.651,70.0,,258299274385.0,146498638651.0
