row_label_raw,row_label_full,col_0,Giá trị,Số có khả năng trả nợ,Giá trị_1,Số có khả năng trả nợ_1,numeric__Giá trị,numeric__Số có khả năng trả nợ,numeric__Giá trị_1,numeric__Số có khả năng trả nợ_1
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.575.817.025.863,1.575.817.025.863,2.202.625.137.721,2.202.625.137.721,1575817025863.0,1575817025863.0,2202625137721.0,2202625137721.0
Phải trả người bán ngắn hạn là bên thứ ba,Phải trả người bán ngắn hạn là bên thứ ba,Phải trả người bán ngắn hạn là bên thứ ba,742.447.238.869,742.447.238.869,1.034.583.744.384,1.034.583.744.384,742447238869.0,742447238869.0,1034583744384.0,1034583744384.0
Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,221.536.957.139,221.536.957.139,332.197.616.787,332.197.616.787,221536957139.0,221536957139.0,332197616787.0,332197616787.0
Tổng Công ty Thiết bị nặng Trung Quốc,Tổng Công ty Thiết bị nặng Trung Quốc,Tổng Công ty Thiết bị nặng Trung Quốc,-,-,140.279.671.139,140.279.671.139,,,140279671139.0,140279671139.0
Ban Điều hành Dự án Thủy diện Đồng,Ban Điều hành Dự án Thủy diện Đồng,Ban Điều hành Dự án Thủy diện Đồng,-,-,105.306.176.854,105.306.176.854,,,105306176854.0,105306176854.0
Nai 5 Tổng công ty Sông ĐàCác đối tượng khác,Nai 5 Tổng công ty Sông ĐàCác đối tượng khác,Nai 5 Tổng công ty Sông ĐàCác đối tượng khác,520.910.281.730,520.910.281.730,456.800.279.604,456.800.279.604,520910281730.0,520910281730.0,456800279604.0,456800279604.0
Phải trả người bán ngắn hạn là bên liên quan(Chỉ tiết tại Thuyết minh số VII.2),Phải trả người bán ngắn hạn là bên liên quan(Chỉ tiết tại Thuyết minh số VII.2),Phải trả người bán ngắn hạn là bên liên quan(Chỉ tiết tại Thuyết minh số VII.2),833.369.786.994,833.369.786.994,1.168.041.393.337,1.168.041.393.337,833369786994.0,833369786994.0,1168041393337.0,1168041393337.0
Dài hạn,Dài hạn,Dài hạn,383.299.978.990,383.299.978.990,370.216.414.600,370.216.414.600,383299978990.0,383299978990.0,370216414600.0,370216414600.0
Phải trả người bán dài hạn là bên thứ ba,Phải trả người bán dài hạn là bên thứ ba,Phải trả người bán dài hạn là bên thứ ba,383.299.978.990,383.299.978.990,370.216.414.600,370.216.414.600,383299978990.0,383299978990.0,370216414600.0,370216414600.0
Nhà thầu SFECO,Nhà thầu SFECO,Nhà thầu SFECO,383.299.978.990,383.299.978.990,370.216.414.600,370.216.414.600,383299978990.0,383299978990.0,370216414600.0,370216414600.0
Phải trả người bán dài hạn là bên liên quan,Phải trả người bán dài hạn là bên liên quan,Phải trả người bán dài hạn là bên liên quan,-,-,-,-,,,,
Cộng,Phải trả người bán dài hạn là bên liên quan > Cộng,Cộng,1.959.117.004.853,1.959.117.004.853,2.572.841.552.321,2.572.841.552.321,1959117004853.0,1959117004853.0,2572841552321.0,2572841552321.0
