row_label_raw,row_label_full,Bên cho vay và hợp đồng > Ngân hàng TMCP Ngoại thương Việt Nam- CN Hà ThànhHợp đồng số 21/7871371-CTD/031 > Ngân hàng TMCP Công Thương Việt Nam- CN Cẩm Phả - Hợp đồng cho vay hạn mức số 803005420491/2022-HĐCVHM/NHCT302-ĐLTKV > Ngân hàng TMCP Việt Nam Thịnh VượngHợp đồng tín dụng số1568906/2021/HDTD/NONGSON-VPBngày 18/08/2021Hợp đồng số 012022/HDCV/VPB-NONGSON ngày 07/04/2022 > Ngân hàng TMCP quốc tế Việt NamHợp đồng tín dụng số 1775557.21 ngày 29/06/2021,Thời hạn vay > 04 tháng > Dưới 12 tháng > 12 tháng kể từ ngày ký hợp đồng,Lãi suất > Thay đổi theo từng thời kỳ,Mục đích khoản vay > Vay bổ sung vốn lưu động,"Tài sản đảm bảo > Quy định cụ thể theo hợp đồng đảm bảo số20/7871371-HĐTC/01 > Vay tín chấp > Mở ký quỹ; Nhà máy và máy móc thiết bị của Công ty được thỏa thuận cụ thể theo từng Hợp đồng đảm bảo. > Bất động sản là QSD đất và tài sản gắn liền với đất tại 425 Trần Cao Vân, quận Thanh Khê, Đà Nẵng; toàn bộ HTK là than cám do Công ty khai thác tại mô than Nông Son.",Số dư cuối năm > 500.000.000.000 > 105.354.997.472 > 28.182.137.993 > 19.999.857.700,numeric__Thời hạn vay > 04 tháng > Dưới 12 tháng > 12 tháng kể từ ngày ký hợp đồng,numeric__Lãi suất > Thay đổi theo từng thời kỳ,numeric__Mục đích khoản vay > Vay bổ sung vốn lưu động,"numeric__Tài sản đảm bảo > Quy định cụ thể theo hợp đồng đảm bảo số20/7871371-HĐTC/01 > Vay tín chấp > Mở ký quỹ; Nhà máy và máy móc thiết bị của Công ty được thỏa thuận cụ thể theo từng Hợp đồng đảm bảo. > Bất động sản là QSD đất và tài sản gắn liền với đất tại 425 Trần Cao Vân, quận Thanh Khê, Đà Nẵng; toàn bộ HTK là than cám do Công ty khai thác tại mô than Nông Son.",numeric__Số dư cuối năm > 500.000.000.000 > 105.354.997.472 > 28.182.137.993 > 19.999.857.700
Cộng,Cộng,Cộng,,,,,1.474.536.993.165,,,,,1474536993165.0
[2] Vay đối tượng khác,[2] Vay đối tượng khác,[2] Vay đối tượng khác,[2] Vay đối tượng khác,[2] Vay đối tượng khác,[2] Vay đối tượng khác,[2] Vay đối tượng khác,[2] Vay đối tượng khác,,,,,
Bên cho vay và hợp đồng,Bên cho vay và hợp đồng,Bên cho vay và hợp đồng,Thời hạn vay,Lãi suất,Mục đích khoản vay,Tài sản đảm bảo,Số dư cuối năm,,,,,
Vay cán bộ công nhân viên,Bên cho vay và hợp đồng > Vay cán bộ công nhân viên,Vay cán bộ công nhân viên,12 tháng kể từ ngày ký hợp đồng,"6,5%-9,45%",Bổ sung vốn lưu động và đầu tư xây dựng các dự án.,Vay tín chấp,14.990.000.000,,,,,14990000000.0
Cộng,Bên cho vay và hợp đồng > Cộng,Cộng,,,,,14.990.000.000,,,,,14990000000.0
