row_label_raw,row_label_full,Công ty TNHH MTV Môi trường - TKV,4.783.719.489,6.965.203.840,numeric__4.783.719.489,numeric__6.965.203.840
Công ty CP Kinh doanh than Cẩm Phà - Vinacomin,Công ty CP Kinh doanh than Cẩm Phà - Vinacomin,Công ty CP Kinh doanh than Cẩm Phà - Vinacomin,-,1.483.201.993,,1483201993.0
Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,8.161.134.988,5.937.626.540,8161134988.0,5937626540.0
Bệnh viện Than - Khoáng sản Việt Nam,Bệnh viện Than - Khoáng sản Việt Nam,Bệnh viện Than - Khoáng sản Việt Nam,187.850.082,283.663.212,187850082.0,283663212.0
Công ty CP Giám định Vinacomin,Công ty CP Giám định Vinacomin,Công ty CP Giám định Vinacomin,204.008.850,42.493.188,204008850.0,42493188.0
Trung cấp Cấp cứu Mỏ - Vinacomin,Trung cấp Cấp cứu Mỏ - Vinacomin,Trung cấp Cấp cứu Mỏ - Vinacomin,223.560.000,233.200.000,223560000.0,233200000.0
Công ty CP Chế tạo máy - Vinacomin,Công ty CP Chế tạo máy - Vinacomin,Công ty CP Chế tạo máy - Vinacomin,1.293.441.000,824.641.000,1293441000.0,824641000.0
Viện khoa học Công nghệ Mỏ - Vinacomin,Viện khoa học Công nghệ Mỏ - Vinacomin,Viện khoa học Công nghệ Mỏ - Vinacomin,38.290.909,309.481.591,38290909.0,309481591.0
Trường cao đẳng than - Khoáng sản Việt Nam,Trường cao đẳng than - Khoáng sản Việt Nam,Trường cao đẳng than - Khoáng sản Việt Nam,271.875.000,-,271875000.0,
Công ty CP Địa chất Việt Bắc - TKV,Công ty CP Địa chất Việt Bắc - TKV,Công ty CP Địa chất Việt Bắc - TKV,-,43.758.649,,43758649.0
Công ty CP Phát triển công nghệ và thiết bị mô,Công ty CP Phát triển công nghệ và thiết bị mô,Công ty CP Phát triển công nghệ và thiết bị mô,174.241.514,-,174241514.0,
Ban QLDA Chuyên ngành Mỏ than,Ban QLDA Chuyên ngành Mỏ than,Ban QLDA Chuyên ngành Mỏ than,-,346.552.775,,346552775.0
Công ty CP Địa Chất và khoáng Sản -Vinacomin,Công ty CP Địa Chất và khoáng Sản -Vinacomin,Công ty CP Địa Chất và khoáng Sản -Vinacomin,1.562.432.765,-,1562432765.0,
Cộng,Cộng,Cộng,833.369.786.994,1.168.041.393.337,833369786994.0,1168041393337.0
